Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
85,Gleison Bremer,DF,br Brazil,25,1997,1.2,95,12,56,36,4,1,95,0,0,,1,0,69,0,Matches
86,Dylan Bronn,DF,tn Tunisia,26,1995,1.8,106,2,41,54,12,1,106,0,0,,0,2,70,1,Matches
87,Marcelo Brozović,MF,hr Croatia,29,1992,6.1,594,25,138,385,76,3,594,3,8,37.5,5,8,449,17,Matches
88,Tajon Buchanan,"MF,DF",ca Canada,23,1999,2.9,130,3,19,42,72,8,130,7,25,28.0,8,7,95,17,Matches
89,Ante Budimir,FW,hr Croatia,30,1991,0.6,12,1,1,5,6,2,12,0,0,,1,1,5,2,Matches
90,Osman Bukari,MF,gh Ghana,23,1998,0.7,30,0,1,10,19,4,30,0,2,0.0,1,1,17,6,Matches
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1989,2.4,110,7,54,55,1,0,110,0,0,,2,0,65,0,Matches
92,Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22,2000,3.0,93,7,16,30,49,9,93,1,7,14.3,4,3,63,9,Matches
93,Sergio Busquets,MF,es Spain,33,1988,4.0,310,6,46,210,54,1,310,1,1,100.0,2,2,237,13,Matches
94,Martín Cáceres,DF,uy Uruguay,35,1987,1.0,83,3,21,49,13,0,83,1,1,100.0,1,0,60,1,Matches
95,Moisés Caicedo,MF,ec Ecuador,20,2001,3.0,174,4,29,122,24,3,174,0,0,,3,1,117,1,Matches
96,Francisco Calvo,DF,cr Costa Rica,29,1992,2.0,122,8,77,43,3,0,122,2,2,100.0,4,1,76,0,Matches
97,Eduardo Camavinga,DF,fr France,19,2002,1.6,141,10,42,64,37,1,141,1,6,16.7,3,3,75,3,Matches
98,Joel Campbell,"FW,MF",cr Costa Rica,29,1992,3.0,176,1,20,117,44,1,176,6,13,46.2,10,8,130,9,Matches
99,João Cancelo,DF,pt Portugal,28,1994,3.4,315,8,74,144,99,7,315,4,11,36.4,6,1,208,8,Matches
100,Agustín Canobbio,MF,uy Uruguay,23,1998,0.1,11,1,5,1,5,0,11,0,0,,0,0,6,0,Matches
101,Yannick Carrasco,"FW,DF",be Belgium,28,1993,1.3,67,3,16,27,24,5,67,1,3,33.3,2,2,45,6,Matches
102,Cameron Carter-Vickers,DF,us United States,24,1997,1.0,64,9,33,30,1,0,64,0,0,,0,0,42,0,Matches
103,Dani Carvajal,DF,es Spain,30,1992,1.5,139,3,32,83,25,0,139,0,0,,1,0,91,3,Matches
104,William Carvalho,MF,pt Portugal,30,1992,2.4,183,5,52,110,22,1,183,0,0,,2,0,147,0,Matches
105,Casemiro,MF,br Brazil,30,1992,4.3,303,10,59,174,71,5,303,1,3,33.3,1,4,203,7,Matches
106,Matty Cash,DF,pl Poland,24,1997,4.0,199,19,58,96,46,1,199,1,4,25.0,3,2,111,3,Matches
107,Timothy Castagne,DF,be Belgium,26,1995,3.0,231,11,81,119,31,2,231,0,2,0.0,3,0,164,6,Matches
108,Jean-Charles Castelletto,DF,cm Cameroon,27,1995,2.0,109,21,59,44,6,2,109,1,1,100.0,1,0,61,0,Matches
109,Lucas Cavallini,FW,ca Canada,29,1992,0.2,3,0,0,2,1,0,3,0,0,,0,0,3,0,Matches
110,Edinson Cavani,FW,uy Uruguay,35,1987,1.4,45,0,3,23,19,5,45,1,1,100.0,3,0,34,5,Matches
111,Ghaylène Chaalali,MF,tn Tunisia,28,1994,0.2,12,2,8,4,0,0,12,0,0,,1,1,2,0,Matches
112,Daniel Chacón,MF,cr Costa Rica,21,2001,0.0,2,1,2,0,0,0,2,0,0,,0,0,1,0,Matches
113,Ilias Chair,MF,ma Morocco,24,1997,0.5,18,0,1,12,5,1,18,0,1,0.0,0,1,15,2,Matches
114,Kwon Chang-hoon,"FW,MF",kr Korea Republic,27,1994,0.6,28,0,1,14,13,3,28,0,0,,1,1,22,3,Matches
115,Luis Chávez,MF,mx Mexico,26,1996,3.0,171,3,21,96,55,1,171,2,6,33.3,1,2,105,2,Matches
116,Walid Cheddira,FW,ma Morocco,24,1998,0.7,19,2,2,10,7,5,19,0,1,0.0,3,0,13,4,Matches
117,Roozbeh Cheshmi,"DF,MF",ir IR Iran,28,1993,0.6,19,4,13,5,1,0,19,0,0,,1,0,4,0,Matches
118,Andreas Christensen,DF,dk Denmark,26,1996,3.0,280,24,106,173,4,2,280,0,0,,2,1,217,1,Matches
119,Hong Chul,DF,kr Korea Republic,31,1990,0.5,25,2,7,9,9,0,25,0,1,0.0,0,0,15,2,Matches
120,José Cifuentes,MF,ec Ecuador,23,1999,0.7,53,1,7,37,9,0,53,0,0,,4,1,40,2,Matches
121,Pathé Ciss,MF,sn Senegal,28,1994,1.6,77,6,21,49,9,1,77,1,3,33.3,4,1,42,0,Matches
122,Sebastián Coates,DF,uy Uruguay,31,1990,2.0,107,8,50,53,4,3,107,0,0,,0,2,66,1,Matches
123,Rubin Colwill,MF,wls Wales,20,2002,0.1,6,1,1,3,2,0,6,0,0,,0,0,3,0,Matches
124,Kingsley Coman,"FW,MF",fr France,26,1996,1.9,102,3,15,39,53,2,102,6,11,54.5,6,7,69,10,Matches
125,Eray Cömert,DF,ch Switzerland,24,1998,0.5,50,5,32,19,1,0,50,0,1,0.0,1,0,37,1,Matches
126,Anthony Contreras,"FW,MF",cr Costa Rica,22,2000,1.4,39,0,4,25,10,2,39,0,0,,3,7,22,2,Matches
127,Andreas Cornelius,FW,dk Denmark,29,1993,1.0,48,1,3,15,30,11,48,1,1,100.0,4,1,41,15,Matches
128,Ángel Correa,MF,ar Argentina,27,1995,0.1,6,1,3,1,2,0,6,0,0,,1,0,4,0,Matches
129,Diogo Costa,GK,pt Portugal,22,1999,5.0,170,156,170,0,0,0,170,0,0,,0,1,87,0,Matches
130,Thibaut Courtois,GK,be Belgium,30,1992,3.0,130,122,129,1,0,0,130,1,1,100.0,0,0,66,0,Matches
131,Jason Cummings,FW,au Australia,26,1995,0.4,8,0,0,8,1,0,8,0,1,0.0,0,0,4,1,Matches
132,Aimen Dahmen,GK,tn Tunisia,25,1997,3.0,82,73,82,0,0,0,82,0,0,,0,0,34,0,Matches
133,Diogo Dalot,DF,pt Portugal,23,1999,2.9,174,7,46,81,47,5,174,1,3,33.3,2,1,104,6,Matches
134,Mikkel Damsgaard,"MF,FW",dk Denmark,21,2000,1.7,90,1,10,54,26,2,90,0,2,0.0,2,2,62,9,Matches
135,Danilo,DF,br Brazil,30,1991,3.1,291,10,70,178,43,1,291,1,1,100.0,2,1,215,8,Matches
136,Achraf Dari,DF,ma Morocco,23,1999,2.1,139,24,84,51,4,1,139,0,0,,0,1,85,0,Matches
137,Jonathan David,"FW,MF",ca Canada,22,2000,2.1,85,1,7,45,33,12,85,0,4,0.0,8,2,58,16,Matches
138,Alphonso Davies,"MF,DF",ca Canada,21,2000,3.0,158,3,12,60,92,8,157,11,24,45.8,11,7,95,15,Matches
139,Ben Davies,DF,wls Wales,29,1993,2.6,186,14,76,96,14,3,186,2,3,66.7,1,0,103,1,Matches
140,Nasser Al-Dawsari,FW,sa Saudi Arabia,23,1998,0.1,13,1,3,6,4,0,13,0,0,,0,1,10,1,Matches
141,Salem Al-Dawsari,MF,sa Saudi Arabia,30,1991,3.0,151,1,20,64,72,14,150,2,10,20.0,13,6,108,16,Matches
142,Giorgian De Arrascaeta,MF,uy Uruguay,28,1994,1.2,70,0,9,24,37,5,70,0,1,0.0,4,4,45,10,Matches
143,Kevin De Bruyne,"FW,MF",be Belgium,30,1991,3.0,167,0,17,75,79,3,167,4,8,50.0,7,4,113,19,Matches
144,Charles De Ketelaere,FW,be Belgium,21,2001,0.2,6,0,2,2,2,1,6,0,0,,1,1,5,0,Matches
145,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,29,0,2,16,12,2,29,0,1,0.0,1,1,23,1,Matches
146,Rodrigo De Paul,MF,ar Argentina,28,1994,6.7,626,4,81,373,178,12,626,1,10,10.0,9,7,482,15,Matches
147,Miloš Degenek,DF,au Australia,28,1994,2.0,127,15,68,44,16,0,127,0,2,0.0,1,1,57,1,Matches
148,Thomas Delaney,MF,dk Denmark,30,1991,0.5,31,2,6,19,6,1,31,0,0,,0,0,23,0,Matches
149,Ousmane Dembélé,FW,fr France,25,1997,4.8,244,2,25,80,144,16,244,9,23,39.1,8,6,180,17,Matches
150,Leander Dendoncker,"DF,MF",be Belgium,27,1995,1.8,144,18,70,67,8,3,144,0,1,0.0,1,1,112,1,Matches
151,Sergiño Dest,DF,us United States,21,2000,3.4,253,10,59,118,79,6,253,5,13,38.5,9,8,179,4,Matches
152,Ángel Di María,"MF,FW",ar Argentina,34,1988,3.2,204,1,13,59,135,18,204,13,28,46.4,9,6,166,26,Matches
153,Boulaye Dia,FW,sn Senegal,25,1996,3.5,83,3,5,28,52,11,83,1,4,25.0,9,8,59,23,Matches
154,Abdou Diallo,DF,sn Senegal,26,1996,3.7,210,19,98,98,15,1,210,0,0,,2,2,139,0,Matches
155,Rúben Dias,DF,pt Portugal,25,1997,4.0,293,24,144,147,3,2,293,0,0,,2,1,216,0,Matches
156,Krépin Diatta,"FW,MF",sn Senegal,23,1999,2.0,90,0,5,34,53,2,90,1,3,33.3,7,7,76,4,Matches
157,Famara Diedhiou,FW,sn Senegal,29,1992,1.0,25,3,4,9,12,6,25,0,1,0.0,2,2,21,0,Matches
158,Bamba Dieng,FW,sn Senegal,22,2000,1.1,33,0,2,17,14,3,33,0,2,0.0,4,4,22,2,Matches
