Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
429,Youssoufa Moukoko,FW,de Germany,17,2004,0.0,2,0,1,0,1,0,2,0,0,,0,0,1,0,Matches
430,Mason Mount,MF,eng England,23,1999,2.1,91,0,5,48,39,2,91,2,3,66.7,6,2,72,13,Matches
431,Youssef Msakni,"MF,FW",tn Tunisia,31,1990,1.9,92,1,15,40,38,14,92,4,7,57.1,5,5,64,13,Matches
432,Thomas Müller,"FW,MF",de Germany,32,1989,2.2,91,0,6,35,52,13,91,0,0,,4,2,71,11,Matches
433,Munir,GK,ma Morocco,33,1989,1.0,31,29,31,0,0,0,31,0,0,,0,0,8,0,Matches
434,Mohammed Muntari,"FW,MF",qa Qatar,28,1993,0.7,28,2,5,18,5,3,28,0,0,,1,0,22,0,Matches
435,Yunus Musah,MF,us United States,19,2002,3.8,222,3,24,126,77,4,222,4,11,36.4,5,3,157,13,Matches
436,Jamal Musiala,"MF,FW",de Germany,19,2003,2.9,165,1,13,53,103,28,165,19,36,52.8,11,16,127,30,Matches
437,Joakim Mæhle,DF,dk Denmark,25,1997,2.8,189,6,49,71,70,3,189,0,9,0.0,3,2,114,17,Matches
438,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27,1995,0.3,21,0,1,7,13,1,21,0,2,0.0,1,2,12,4,Matches
439,Yuto Nagatomo,"MF,DF",jp Japan,35,1986,2.3,122,6,27,59,36,0,122,3,4,75.0,1,1,68,2,Matches
440,Sami Al-Najei,MF,sa Saudi Arabia,25,1997,0.5,26,0,3,5,19,2,26,0,0,,1,1,15,2,Matches
441,Keylor Navas,GK,cr Costa Rica,35,1986,3.0,113,107,113,0,0,0,113,0,0,,0,0,33,0,Matches
442,Iliman Ndiaye,"FW,MF",sn Senegal,22,2000,1.5,44,0,1,21,25,4,44,6,8,75.0,1,3,29,9,Matches
443,Victor Nelsson,DF,dk Denmark,23,1998,1.0,79,4,17,59,3,0,79,0,0,,0,0,58,0,Matches
444,Manuel Neuer,GK,de Germany,36,1986,3.0,133,103,132,1,0,0,133,0,0,,0,0,89,0,Matches
445,Rúben Neves,MF,pt Portugal,25,1997,3.0,275,7,68,173,34,1,275,0,0,,1,1,221,1,Matches
446,Neymar,MF,br Brazil,30,1992,3.1,209,0,12,101,98,15,208,6,23,26.1,8,12,167,20,Matches
447,Moumi Ngamaleu,"FW,MF",cm Cameroon,27,1994,1.1,36,0,7,12,18,5,36,2,4,50.0,2,3,26,9,Matches
448,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1998,0.1,4,1,1,0,3,0,4,0,0,,1,1,4,1,Matches
449,Rasmus Nissen,DF,dk Denmark,24,1997,2.5,208,8,35,98,75,4,208,1,5,20.0,3,3,133,14,Matches
450,Nicolas Nkoulou,DF,cm Cameroon,32,1990,2.0,115,19,79,33,5,3,115,0,0,,1,0,80,1,Matches
451,Andries Noppert,GK,nl Netherlands,28,1994,5.3,206,185,204,2,0,0,206,0,0,,0,0,96,0,Matches
452,Ahmad Nourollahi,MF,ir IR Iran,29,1993,2.5,85,10,28,37,22,0,85,1,2,50.0,3,0,39,1,Matches
453,Olivier Ntcham,MF,cm Cameroon,26,1996,0.3,14,1,3,7,4,0,14,2,2,100.0,0,0,10,0,Matches
454,Matheus Nunes,MF,pt Portugal,23,1998,0.8,40,0,6,13,22,3,40,1,2,50.0,4,1,35,2,Matches
455,Darwin Núñez,FW,uy Uruguay,22,1999,2.7,86,1,10,30,47,5,86,0,4,0.0,11,6,62,25,Matches
456,Christian Nørgaard,MF,dk Denmark,28,1994,0.1,15,1,3,10,2,0,15,0,0,,0,0,12,1,Matches
457,Guillermo Ochoa,GK,mx Mexico,36,1985,3.0,111,76,111,0,0,0,111,0,0,,0,0,51,0,Matches
458,Denis Odoi,DF,gh Ghana,34,1988,0.1,7,5,5,2,0,0,7,0,0,,0,0,1,0,Matches
459,Noah Okafor,"FW,MF",ch Switzerland,22,2000,0.5,29,0,1,16,12,2,29,0,3,0.0,2,1,24,7,Matches
460,Mathías Olivera,DF,uy Uruguay,24,1997,2.8,183,12,66,64,53,3,183,0,3,0.0,7,2,74,7,Matches
461,Dani Olmo,FW,es Spain,24,1998,4.1,260,3,18,88,156,18,260,4,19,21.1,11,7,202,42,Matches
462,Amadou Onana,MF,be Belgium,20,2001,1.2,76,0,12,59,6,3,76,1,1,100.0,4,1,60,2,Matches
463,André Onana,GK,cm Cameroon,26,1996,0.9,60,34,56,4,0,0,60,0,0,,0,0,32,0,Matches
464,Gaël Ondoua,MF,cm Cameroon,26,1995,0.5,25,2,3,15,7,1,25,0,0,,0,1,9,0,Matches
465,Loïs Openda,FW,be Belgium,22,2000,0.1,10,0,0,6,4,0,10,1,1,100.0,2,0,5,1,Matches
466,Mislav Oršić,FW,hr Croatia,29,1992,1.8,81,3,9,29,44,8,81,1,3,33.3,7,0,61,12,Matches
467,Jonathan Osorio,"MF,FW",ca Canada,30,1992,1.3,67,0,10,44,13,2,67,1,2,50.0,2,2,54,2,Matches
468,Nicolás Otamendi,DF,ar Argentina,34,1988,7.7,641,52,298,335,9,3,641,0,0,,2,1,474,2,Matches
469,Otávio,MF,pt Portugal,27,1995,2.2,147,0,17,88,42,1,147,0,0,,4,3,110,9,Matches
470,Samuel Oum Gouet,MF,cm Cameroon,24,1997,1.1,65,4,23,38,5,0,65,0,0,,1,0,40,0,Matches
471,Azzedine Ounahi,MF,ma Morocco,22,2000,6.3,330,4,79,185,71,8,330,10,13,76.9,16,7,243,15,Matches
472,Bryan Oviedo,DF,cr Costa Rica,32,1990,2.9,114,12,50,43,24,1,114,0,2,0.0,1,0,61,4,Matches
473,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1991,3.0,113,87,111,3,0,0,113,0,0,,0,0,25,0,Matches
474,Juan Pablo Vargas,DF,cr Costa Rica,27,1995,1.0,43,13,33,8,2,2,43,0,0,,1,0,14,0,Matches
475,Exequiel Palacios,"MF,DF",ar Argentina,23,1998,0.6,34,1,5,19,10,1,34,0,1,0.0,0,2,22,1,Matches
476,João Palhinha,MF,pt Portugal,26,1995,0.4,41,1,9,22,10,1,41,1,2,50.0,2,1,25,1,Matches
477,Lucas Paquetá,MF,br Brazil,24,1997,3.5,231,3,31,133,68,6,231,0,2,0.0,5,4,174,16,Matches
478,Leandro Paredes,MF,ar Argentina,27,1994,2.5,270,6,49,199,23,0,270,0,1,0.0,1,0,204,1,Matches
479,Thomas Partey,MF,gh Ghana,29,1993,3.0,219,16,65,128,28,3,219,3,3,100.0,5,4,147,5,Matches
480,Mario Pašalić,"FW,MF",hr Croatia,27,1995,3.0,132,8,30,79,26,6,132,0,4,0.0,6,3,80,12,Matches
481,Benjamin Pavard,DF,fr France,26,1996,1.0,94,0,20,63,12,0,94,0,0,,0,0,72,0,Matches
482,Strahinja Pavlović,DF,rs Serbia,21,2001,2.6,186,14,71,101,17,3,186,2,3,66.7,4,3,120,3,Matches
483,Pedri,MF,es Spain,19,2002,4.0,469,3,35,328,109,2,469,6,11,54.5,4,5,396,9,Matches
484,Pedro,FW,br Brazil,24,1997,0.7,25,0,3,10,12,5,25,0,0,,3,1,20,5,Matches
485,Facundo Pellistri,"MF,FW",uy Uruguay,20,2001,2.0,68,1,7,17,45,7,68,0,6,0.0,2,3,49,9,Matches
486,Pepe,DF,pt Portugal,39,1983,4.0,331,23,145,178,10,4,331,1,1,100.0,1,1,242,0,Matches
487,Danilo Pereira,DF,pt Portugal,30,1991,1.0,87,8,43,44,1,0,87,1,1,100.0,1,1,65,0,Matches
488,Ivan Perišić,"FW,DF",hr Croatia,33,1989,7.4,378,13,69,140,176,33,378,6,13,46.2,18,5,243,33,Matches
489,Bruno Petković,FW,hr Croatia,27,1994,2.6,102,3,7,55,42,13,102,2,4,50.0,7,10,91,10,Matches
490,Germán Pezzella,DF,ar Argentina,30,1991,0.7,47,0,10,36,1,1,47,0,0,,0,0,41,0,Matches
491,Kalvin Phillips,MF,eng England,26,1995,0.5,20,1,8,12,0,0,20,0,0,,0,0,18,1,Matches
492,Krzysztof Piątek,FW,pl Poland,26,1995,0.3,9,0,1,6,2,1,9,0,0,,1,1,7,0,Matches
493,Jordan Pickford,GK,eng England,28,1994,5.0,169,128,169,0,0,0,169,0,0,,0,0,100,0,Matches
494,Orbelín Pineda,MF,mx Mexico,26,1996,0.8,47,1,5,21,21,4,47,0,2,0.0,3,3,31,1,Matches
495,Gonzalo Plata,"MF,FW",ec Ecuador,21,2000,3.0,133,0,9,73,53,6,133,4,12,33.3,9,3,86,6,Matches
496,Jackson Porozo,DF,ec Ecuador,21,2000,1.1,58,2,26,30,2,1,58,0,0,,0,2,32,0,Matches
497,Morteza Pouraliganji,DF,ir IR Iran,30,1992,3.0,156,19,86,60,10,4,156,0,0,,1,0,84,3,Matches
498,Ángelo Preciado,DF,ec Ecuador,24,1998,2.9,160,3,37,78,46,3,160,0,4,0.0,6,2,81,1,Matches
499,Christian Pulisic,"FW,MF",us United States,23,1998,3.5,191,1,19,58,121,24,191,4,15,26.7,12,10,138,19,Matches
500,Adrien Rabiot,MF,fr France,27,1995,5.4,352,16,64,203,88,19,352,2,5,40.0,5,7,244,18,Matches
501,Nemanja Radonjić,"DF,FW",rs Serbia,26,1996,0.7,37,1,8,8,21,1,37,0,5,0.0,2,1,21,1,Matches
502,Baba Rahman,DF,gh Ghana,27,1994,2.0,121,4,26,60,35,2,121,1,5,20.0,6,0,68,3,Matches
503,Gonçalo Ramos,"FW,MF",pt Portugal,20,2001,1.7,56,2,5,20,31,10,56,0,2,0.0,7,0,40,13,Matches
504,Aaron Ramsey,MF,wls Wales,31,1990,3.0,143,6,31,72,40,5,143,2,8,25.0,9,4,100,7,Matches
505,Raphinha,FW,br Brazil,25,1996,3.5,194,2,19,69,107,21,194,4,15,26.7,6,4,137,18,Matches
506,Marcus Rashford,FW,eng England,24,1997,1.6,92,1,6,43,44,13,92,5,9,55.6,4,1,72,16,Matches
507,David Raum,DF,de Germany,24,1998,2.7,232,4,50,85,100,6,232,2,4,50.0,5,3,141,13,Matches
508,Bassam Al-Rawi,DF,qa Qatar,24,1997,1.0,68,7,34,34,0,0,68,1,1,100.0,0,1,47,0,Matches
509,Tim Ream,DF,us United States,34,1987,4.0,306,25,117,181,9,3,306,2,2,100.0,4,0,204,0,Matches
510,Djorkaeff Reasco,FW,ec Ecuador,23,1999,0.3,3,0,1,2,0,0,3,0,0,,1,1,4,2,Matches
511,Gio Reyna,FW,us United States,19,2002,0.6,42,0,0,16,26,5,42,0,0,,1,1,33,4,Matches
512,Ramin Rezaeian,DF,ir IR Iran,32,1990,2.0,130,8,49,47,36,3,130,1,1,100.0,7,3,70,5,Matches
513,Everton Ribeiro,MF,br Brazil,33,1989,0.4,21,0,2,7,12,3,21,0,1,0.0,0,1,17,5,Matches
514,Declan Rice,MF,eng England,23,1999,4.6,360,12,82,247,33,4,360,0,3,0.0,1,2,272,2,Matches
515,Richarlison,FW,br Brazil,25,1997,3.6,99,4,12,31,58,19,99,0,5,0.0,12,3,60,18,Matches
516,Fabian Rieder,FW,ch Switzerland,20,2002,0.8,34,1,9,17,10,1,34,1,1,100.0,2,2,20,2,Matches
517,Ró-Ró,DF,qa Qatar,31,1990,2.9,135,9,50,63,22,3,135,2,4,50.0,4,2,86,5,Matches
518,Connor Roberts,DF,wls Wales,26,1995,2.2,140,8,39,63,38,0,140,0,0,,0,0,82,7,Matches
519,Antonee Robinson,DF,us United States,24,1997,4.0,290,16,70,130,93,3,290,4,5,80.0,13,3,165,13,Matches
520,Sergio Rochet,GK,uy Uruguay,29,1993,3.0,89,79,88,1,0,0,89,0,0,,1,0,36,0,Matches
521,Joe Rodon,DF,wls Wales,24,1997,3.0,192,27,122,68,2,1,192,0,0,,0,0,135,0,Matches
522,Rodri,DF,es Spain,25,1996,4.3,711,28,158,518,35,3,711,0,0,,0,0,597,2,Matches
523,Charly Rodríguez,MF,mx Mexico,25,1997,0.4,36,0,3,25,8,0,36,2,2,100.0,1,0,26,1,Matches
524,Guido Rodríguez,MF,ar Argentina,28,1994,0.6,68,1,22,45,1,0,68,0,0,,0,0,54,0,Matches
525,Kevin Rodríguez,FW,ec Ecuador,22,2000,0.0,,,,,,,,,,,,,,,Matches
526,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4.0,253,13,92,123,40,2,253,0,0,,2,3,159,6,Matches
527,Rodrygo,"MF,FW",br Brazil,21,2001,2.0,153,3,10,63,82,15,153,2,9,22.2,9,3,106,14,Matches
528,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,0.8,31,1,5,18,10,3,31,1,3,33.3,0,5,16,3,Matches
529,Cristian Romero,DF,ar Argentina,24,1998,6.1,426,44,202,214,12,2,426,1,1,100.0,5,1,293,1,Matches
530,Cristiano Ronaldo,FW,pt Portugal,37,1985,3.2,118,2,5,59,54,19,117,0,5,0.0,9,5,96,27,Matches
531,Marten de Roon,MF,nl Netherlands,31,1991,2.0,143,6,32,99,12,0,143,0,0,,1,0,97,0,Matches
532,Kye Rowles,DF,au Australia,23,1998,4.0,232,43,171,59,2,0,232,0,0,,1,0,148,0,Matches
533,Antonio Rüdiger,DF,de Germany,29,1993,3.0,272,22,109,150,14,4,272,0,1,0.0,1,0,215,0,Matches
534,Bryan Ruiz,MF,cr Costa Rica,36,1985,0.3,14,1,4,10,0,0,14,1,1,100.0,0,0,9,0,Matches
535,Mathew Ryan,GK,au Australia,30,1992,4.0,176,143,175,1,0,0,176,0,0,,0,0,79,0,Matches
536,Youssouf Sabaly,DF,sn Senegal,29,1993,4.0,256,5,65,113,80,4,256,4,9,44.4,5,1,167,8,Matches
537,Abdelhamid Sabiri,MF,ma Morocco,25,1996,2.0,86,5,23,50,13,1,86,0,3,0.0,0,3,54,0,Matches
538,Romain Saïss,DF,ma Morocco,32,1990,5.2,247,51,164,84,3,1,247,1,2,50.0,0,0,138,0,Matches
539,Bukayo Saka,FW,eng England,20,2001,3.2,150,2,17,49,85,15,150,2,11,18.2,3,3,112,24,Matches
540,Hiroki Sakai,"MF,DF",jp Japan,32,1990,1.3,70,8,33,22,15,2,70,0,2,0.0,1,1,26,1,Matches
541,Youstin Salas,"DF,MF",cr Costa Rica,25,1996,0.5,29,5,18,7,5,0,29,1,2,50.0,1,1,6,0,Matches
542,William Saliba,DF,fr France,21,2001,0.3,38,2,14,19,5,0,38,1,1,100.0,1,0,31,0,Matches
543,Mohammed Salisu,DF,gh Ghana,23,1999,3.0,184,27,102,72,11,6,184,0,0,,1,1,114,1,Matches
544,Tarek Salman,DF,qa Qatar,24,1997,0.1,13,1,7,5,1,0,13,0,0,,0,0,8,0,Matches
545,Alex Sandro,DF,br Brazil,31,1991,2.1,195,7,46,111,40,0,195,1,2,50.0,1,0,121,4,Matches
546,Leroy Sané,"FW,DF",de Germany,26,1996,1.2,67,1,3,23,42,7,67,3,6,50.0,0,3,61,9,Matches
547,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,60,1,4,14,42,4,60,0,4,0.0,4,4,39,8,Matches
548,Pablo Sarabia,FW,es Spain,30,1992,0.0,6,0,0,0,6,1,6,0,0,,0,0,3,0,Matches
549,Josh Sargent,FW,us United States,22,2000,1.7,48,0,4,18,26,5,48,2,2,100.0,5,4,37,14,Matches
550,Jeremy Sarmiento,"MF,FW",ec Ecuador,19,2002,0.9,45,0,2,20,26,2,45,2,6,33.3,2,1,27,3,Matches
551,Ismaila Sarr,"FW,MF",sn Senegal,24,1998,3.8,132,3,14,43,78,20,131,9,19,47.4,12,5,98,14,Matches
552,Ferjani Sassi,"MF,DF",tn Tunisia,30,1992,0.5,40,1,9,27,4,0,40,2,3,66.7,0,0,27,2,Matches
553,Fabian Schär,DF,ch Switzerland,30,1991,1.5,100,14,50,48,2,1,100,0,0,,1,1,56,0,Matches
554,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,135,8,46,80,10,0,135,0,2,0.0,1,1,101,2,Matches
555,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,91,73,89,2,0,0,91,0,0,,0,0,42,0,Matches
556,Haris Seferović,FW,ch Switzerland,30,1992,0.8,19,1,3,9,7,1,19,0,0,,2,0,15,2,Matches
557,Alidu Seidu,DF,gh Ghana,22,2000,1.7,101,3,38,42,23,1,101,4,6,66.7,4,0,50,0,Matches
558,Antoine Semenyo,"FW,MF",gh Ghana,22,2000,0.2,6,0,0,2,4,2,6,0,0,,1,1,3,2,Matches
559,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,139,109,139,0,0,0,139,0,0,,0,0,60,0,Matches
560,Paik Seung-ho,MF,kr Korea Republic,25,1997,0.3,31,1,4,19,8,1,31,0,0,,0,0,19,0,Matches
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,44,3,13,24,7,0,44,0,0,,2,0,15,0,Matches
562,Xherdan Shaqiri,"FW,MF",ch Switzerland,30,1991,2.5,113,0,8,43,62,5,113,0,3,0.0,1,5,95,15,Matches
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,29,6,11,17,2,0,29,1,2,50.0,1,1,10,0,Matches
564,Luke Shaw,DF,eng England,26,1995,4.7,420,6,67,248,107,8,420,2,2,100.0,5,2,306,13,Matches
565,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,22,21,22,0,0,0,22,0,0,,0,0,8,0,Matches
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,2.5,74,2,5,36,34,12,74,0,2,0.0,8,1,39,9,Matches
567,André Silva,FW,pt Portugal,26,1995,0.3,14,0,0,7,7,1,14,0,0,,1,1,12,4,Matches
568,António Silva,DF,pt Portugal,18,2003,1.0,67,5,32,35,0,0,67,0,0,,0,0,49,0,Matches
569,Bernardo Silva,MF,pt Portugal,27,1994,4.0,310,7,42,169,102,8,310,1,4,25.0,4,4,238,12,Matches
570,Thiago Silva,DF,br Brazil,37,1984,4.3,369,22,139,220,10,3,369,0,1,0.0,2,0,290,0,Matches
571,Unai Simón,GK,es Spain,25,1997,4.3,167,133,163,4,0,0,167,0,0,,0,0,113,0,Matches
572,Xavi Simons,"FW,MF",nl Netherlands,19,2003,0.1,11,0,3,6,2,0,11,0,0,,0,0,9,0,Matches
573,Ellyes Skhiri,MF,tn Tunisia,27,1995,3.0,161,8,44,108,10,1,161,1,3,33.3,4,1,94,4,Matches
574,Michał Skóraś,MF,pl Poland,22,2000,0.5,12,1,1,8,3,0,12,0,1,0.0,0,0,9,3,Matches
575,Andreas Skov Olsen,"FW,MF",dk Denmark,22,1999,1.5,78,2,7,25,46,13,78,0,2,0.0,4,4,61,19,Matches
576,Robert Skov,DF,dk Denmark,26,1996,0.2,23,0,3,5,15,1,23,0,1,0.0,0,0,17,3,Matches
577,Naïm Sliti,"MF,FW",tn Tunisia,29,1992,1.3,65,0,4,27,35,3,65,5,8,62.5,4,1,40,5,Matches
578,Carlos Soler,MF,es Spain,25,1997,1.0,88,0,4,56,28,3,88,1,2,50.0,0,1,76,3,Matches
579,Yuki Soma,"FW,MF",jp Japan,25,1997,0.9,27,0,2,7,18,1,27,1,2,50.0,2,0,15,3,Matches
580,Yann Sommer,GK,ch Switzerland,33,1988,3.0,126,99,126,0,0,0,126,0,0,,0,0,76,0,Matches
581,Borna Sosa,DF,hr Croatia,24,1998,4.7,336,18,106,140,91,3,336,2,4,50.0,6,3,218,8,Matches
582,Harry Souttar,DF,au Australia,23,1998,4.0,212,37,142,68,4,2,212,0,0,,1,0,128,0,Matches
583,Djibril Sow,MF,ch Switzerland,25,1997,2.9,115,1,11,72,33,3,115,0,2,0.0,4,2,88,11,Matches
584,Josip Stanišić,DF,hr Croatia,22,2000,1.0,56,1,16,29,11,1,56,0,0,,0,0,29,5,Matches
585,Renato Steffen,FW,ch Switzerland,30,1991,0.4,20,2,9,7,4,0,20,0,0,,1,2,9,0,Matches
586,Raheem Sterling,FW,eng England,27,1994,1.7,69,2,5,37,29,6,69,2,3,66.7,6,3,56,12,Matches
587,John Stones,DF,eng England,28,1994,4.8,475,27,208,257,12,5,475,2,2,100.0,1,0,403,0,Matches
588,Luis Suárez,FW,uy Uruguay,35,1987,1.6,52,2,5,21,26,8,52,2,3,66.7,2,0,40,5,Matches
589,Niklas Süle,DF,de Germany,26,1995,3.0,267,15,88,157,24,2,267,0,0,,0,1,204,1,Matches
590,Kamaldeen Sulemana,FW,gh Ghana,20,2002,0.6,30,2,3,5,23,4,30,1,5,20.0,1,1,24,4,Matches
591,Josip Šutalo,DF,hr Croatia,22,2000,1.0,73,14,42,31,0,0,73,0,0,,0,0,61,0,Matches
592,Karol Świderski,FW,pl Poland,25,1997,0.5,15,0,4,7,5,0,15,0,0,,3,0,6,0,Matches
593,Wojciech Szczęsny,GK,pl Poland,32,1990,4.0,160,137,159,1,0,0,160,0,0,,0,0,56,0,Matches
594,Damian Szymański,MF,pl Poland,26,1995,0.3,9,0,3,6,0,0,9,0,0,,0,0,8,0,Matches
595,Sebastian Szymański,MF,pl Poland,23,1999,1.5,61,3,18,28,16,3,61,1,3,33.3,5,2,36,6,Matches
596,Dušan Tadić,"MF,FW",rs Serbia,33,1988,2.9,151,1,8,58,87,8,151,3,6,50.0,8,3,114,14,Matches
597,Nicolás Tagliafico,DF,ar Argentina,29,1992,4.1,220,12,53,110,60,8,220,0,2,0.0,1,1,124,12,Matches
598,Montassar Talbi,DF,tn Tunisia,24,1998,3.0,177,24,98,77,3,1,177,0,1,0.0,1,1,96,0,Matches
599,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1999,2.0,76,17,43,31,2,2,76,0,0,,0,0,34,0,Matches
600,Ao Tanaka,MF,jp Japan,23,1998,1.9,85,3,32,40,14,3,85,0,1,0.0,1,1,55,7,Matches
601,Shogo Taniguchi,DF,jp Japan,30,1991,2.3,105,16,49,51,6,3,105,0,0,,0,0,63,0,Matches
602,Mehdi Taremi,FW,ir IR Iran,29,1992,3.0,122,4,18,62,48,15,121,1,9,11.1,7,5,83,17,Matches
603,Kenneth Taylor,MF,nl Netherlands,20,2002,0.1,9,0,1,6,2,0,9,0,0,,0,0,8,1,Matches
604,Aurélien Tchouaméni,MF,fr France,22,2000,6.9,532,15,95,372,70,3,532,3,5,60.0,11,0,397,6,Matches
605,Yeltsin Tejeda,MF,cr Costa Rica,30,1992,3.0,129,9,50,69,11,1,129,0,2,0.0,1,2,74,0,Matches
606,Alex Telles,DF,br Brazil,29,1992,0.7,46,0,12,21,14,1,46,0,0,,1,0,32,0,Matches
607,Sorba Thomas,MF,wls Wales,22,1999,0.0,6,0,1,2,3,0,6,0,1,0.0,0,1,4,0,Matches
608,Marcus Thuram,"FW,MF",fr France,24,1997,1.7,74,3,11,35,29,4,74,6,12,50.0,5,4,49,5,Matches
609,Youri Tielemans,MF,be Belgium,25,1997,1.1,77,4,20,48,10,0,77,0,0,,2,0,49,2,Matches
610,Jurriën Timber,DF,nl Netherlands,20,2001,4.3,360,15,129,226,9,0,360,4,6,66.7,7,2,261,2,Matches
611,Karl Toko Ekambi,"FW,MF",cm Cameroon,29,1992,1.8,68,1,7,41,23,5,68,1,4,25.0,3,4,45,5,Matches
612,Nouhou Tolo,DF,cm Cameroon,24,1997,3.0,148,18,61,58,31,2,148,1,5,20.0,4,0,65,1,Matches
613,Takehiro Tomiyasu,"DF,MF",jp Japan,23,1998,2.1,117,11,60,42,15,2,117,0,0,,2,0,68,1,Matches
614,Mehdi Torabi,MF,ir IR Iran,27,1994,0.7,48,4,8,29,12,2,48,1,2,50.0,2,0,30,1,Matches
615,Félix Torres Caicedo,DF,ec Ecuador,25,1997,3.0,233,21,139,90,5,3,233,0,1,0.0,2,0,156,0,Matches
616,Ferrán Torres,FW,es Spain,22,2000,2.4,117,0,5,39,73,13,116,1,11,9.1,9,7,101,14,Matches
617,Gerson Torres,MF,cr Costa Rica,24,1997,0.7,25,0,7,12,6,0,25,0,2,0.0,3,4,22,1,Matches
618,Pau Torres,DF,es Spain,25,1997,1.0,194,6,30,162,2,0,194,0,0,,0,0,175,0,Matches
619,Kieran Trippier,DF,eng England,31,1990,2.3,207,5,54,110,47,1,207,1,1,100.0,1,1,133,4,Matches
620,Leandro Trossard,"FW,MF",be Belgium,27,1994,1.1,68,1,7,34,28,3,68,0,4,0.0,2,1,53,8,Matches
621,Matt Turner,GK,us United States,27,1994,4.0,136,112,136,0,0,0,136,0,0,,0,0,69,0,Matches
622,Ayase Ueda,FW,jp Japan,23,1998,0.5,23,1,2,6,15,1,23,0,0,,4,2,15,5,Matches
623,Hwang Ui-jo,"FW,MF",kr Korea Republic,29,1992,1.2,18,1,2,6,11,2,18,1,1,100.0,2,0,11,2,Matches
624,Dayot Upamecano,DF,fr France,23,1998,5.3,395,27,159,234,5,2,395,0,0,,1,1,290,1,Matches
625,Enner Valencia,"FW,MF",ec Ecuador,32,1989,2.8,99,2,3,41,56,13,98,2,7,28.6,15,6,71,13,Matches
626,Federico Valverde,MF,uy Uruguay,23,1998,3.0,227,2,39,145,48,4,227,1,4,25.0,6,2,152,4,Matches
627,Virgil van Dijk,DF,nl Netherlands,30,1991,5.3,399,61,211,181,8,4,399,0,0,,2,0,277,0,Matches
628,Raphaël Varane,DF,fr France,29,1993,5.8,321,33,140,175,7,3,321,1,1,100.0,0,0,237,0,Matches
629,Guillermo Varela,DF,uy Uruguay,29,1993,2.0,108,2,28,57,23,0,108,0,3,0.0,2,1,66,5,Matches
630,Ruben Vargas,FW,ch Switzerland,23,1998,3.2,144,5,18,47,81,8,144,1,7,14.3,6,1,100,18,Matches
631,Matías Vecino,MF,uy Uruguay,30,1991,2.2,131,5,42,73,16,2,131,0,0,,3,1,81,2,Matches
632,Alexis Vega,FW,mx Mexico,24,1997,2.1,83,1,7,41,36,8,83,1,4,25.0,6,8,51,9,Matches
633,Miloš Veljković,DF,rs Serbia,26,1995,2.5,126,22,77,50,1,0,126,0,0,,0,0,91,0,Matches
634,Johan Venegas,"FW,MF",cr Costa Rica,33,1988,0.8,21,1,4,9,8,1,21,0,1,0.0,2,0,14,3,Matches
635,Jordan Veretout,MF,fr France,29,1993,0.7,43,2,11,25,7,1,43,0,0,,2,1,32,1,Matches
636,Jan Vertonghen,DF,be Belgium,35,1987,3.0,294,36,171,117,6,5,294,0,0,,0,0,234,0,Matches
637,Matías Viña,DF,uy Uruguay,24,1997,0.2,26,0,8,12,6,0,26,1,1,100.0,0,1,14,5,Matches
638,Vitinha,MF,pt Portugal,22,2000,1.3,118,1,7,79,32,0,118,1,2,50.0,2,1,102,5,Matches
639,Steven Vitória,DF,ca Canada,35,1987,3.0,204,14,85,118,1,0,204,0,1,0.0,1,1,142,0,Matches
640,Dušan Vlahović,FW,rs Serbia,22,2000,0.9,20,0,4,8,8,3,20,0,1,0.0,3,1,14,3,Matches
641,Nikola Vlašić,"FW,MF",hr Croatia,24,1997,2.3,81,1,10,35,38,8,81,3,9,33.3,5,6,63,12,Matches
642,Mohammed Waad,"MF,DF",qa Qatar,22,1999,0.3,16,0,5,8,3,0,16,1,1,100.0,1,0,12,0,Matches
643,Kyle Walker,DF,eng England,32,1990,2.6,197,3,54,119,27,0,197,2,3,66.7,1,0,129,1,Matches
644,Danny Ward,GK,wls Wales,28,1993,1.0,42,32,40,2,0,0,42,0,0,,0,0,20,0,Matches
645,Kendall Waston,DF,cr Costa Rica,34,1988,2.5,107,30,75,28,4,3,107,0,0,,1,1,59,0,Matches
646,Timothy Weah,FW,us United States,22,2000,3.5,133,0,9,55,72,11,133,2,2,100.0,9,5,102,18,Matches
