Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
54,Srđan Babić,DF,rs Serbia,26,1996,0.1,16,15,1,0,0,1,0,1,0,0,0,0,10,0,0,Matches
55,Keanu Baccus,MF,au Australia,24,1998,1.3,41,41,0,0,1,1,0,0,0,0,0,0,26,0,1,Matches
56,Alexander Bah,DF,dk Denmark,24,1997,0.5,53,46,7,0,0,0,4,7,0,0,0,0,37,0,1,Matches
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1992,0.0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
58,Alejandro Balde,DF,es Spain,18,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0,Matches
59,Gareth Bale,FW,wls Wales,32,1989,2.5,53,49,4,0,0,3,2,2,0,0,0,0,33,0,2,Matches
60,Fodé Ballo-Touré,DF,sn Senegal,25,1997,0.1,8,7,1,0,0,0,2,1,0,0,0,0,5,0,1,Matches
61,Badr Banoun,DF,ma Morocco,28,1993,0.6,22,21,1,1,0,0,0,0,0,0,0,0,21,0,0,Matches
62,Borna Barišić,DF,hr Croatia,29,1992,1.3,69,56,13,2,0,0,11,11,0,0,0,0,50,0,0,Matches
63,Meshaal Barsham,GK,qa Qatar,24,1998,2.0,63,38,24,4,0,0,0,0,0,0,0,0,45,1,0,Matches
64,Christian Bassogog,MF,cm Cameroon,26,1995,0.3,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3,Matches
65,Michy Batshuayi,FW,be Belgium,28,1993,1.7,24,22,2,0,0,0,0,0,0,0,0,0,16,0,1,Matches
66,Jan Bednarek,DF,pl Poland,26,1996,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
67,Aziz Behich,DF,au Australia,31,1990,4.0,203,156,47,3,0,0,5,44,0,0,0,0,152,0,5,Matches
68,Alireza Beiranvand,GK,ir IR Iran,29,1992,1.2,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0,Matches
69,Jude Bellingham,MF,eng England,18,2003,4.6,265,258,6,2,1,3,4,1,0,0,0,0,235,1,5,Matches
70,Anis Ben Slimane,MF,tn Tunisia,21,2001,1.6,46,37,8,0,0,0,8,2,6,2,3,1,29,1,2,Matches
71,Jewison Bennette,MF,cr Costa Rica,17,2004,1.1,14,14,0,0,0,0,2,0,0,0,0,0,11,0,1,Matches
72,Rodrigo Bentancur,MF,uy Uruguay,24,1997,2.4,160,152,8,6,0,0,2,2,0,0,0,0,136,0,2,Matches
73,Bartosz Bereszyński,DF,pl Poland,29,1992,3.8,156,112,44,5,0,0,4,39,0,0,0,0,122,0,6,Matches
74,Steven Berghuis,MF,nl Netherlands,30,1991,2.2,131,121,10,6,0,1,13,2,2,1,0,0,97,0,2,Matches
75,Steven Bergwijn,FW,nl Netherlands,24,1997,2.4,72,71,1,0,1,0,0,1,0,0,0,0,64,0,1,Matches
76,Krystian Bielik,MF,pl Poland,24,1998,2.4,99,96,3,3,0,3,0,0,0,0,0,0,86,0,2,Matches
77,Daley Blind,DF,nl Netherlands,32,1990,4.7,300,266,34,4,0,2,6,29,1,0,0,0,252,0,1,Matches
78,Celso Borges,MF,cr Costa Rica,34,1988,2.8,120,111,7,7,1,3,2,0,0,0,0,0,98,2,1,Matches
79,Milan Borjan,GK,ca Canada,34,1987,3.0,98,72,25,10,0,1,0,0,0,0,0,0,76,1,0,Matches
80,Karim Boudiaf,MF,qa Qatar,31,1990,2.1,106,103,3,3,0,2,0,0,0,0,0,0,94,0,0,Matches
81,Sofiane Boufal,FW,ma Morocco,28,1993,5.3,133,130,1,1,0,4,7,0,0,0,0,0,99,2,2,Matches
82,Yassine Bounou,GK,ma Morocco,31,1991,6.3,209,134,73,17,0,1,0,0,0,0,0,0,154,2,0,Matches
83,Martin Braithwaite,"FW,MF",dk Denmark,31,1991,1.1,20,19,1,0,0,1,0,0,0,0,0,0,14,0,4,Matches
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1992,0.7,48,42,6,1,0,0,2,5,0,0,0,0,39,0,0,Matches
85,Gleison Bremer,DF,br Brazil,25,1997,1.2,84,81,2,0,0,0,0,2,0,0,0,0,78,1,0,Matches
86,Dylan Bronn,DF,tn Tunisia,26,1995,1.8,98,89,8,3,1,1,0,5,0,0,0,0,75,1,2,Matches
87,Marcelo Brozović,MF,hr Croatia,29,1992,6.1,530,513,16,16,1,2,4,0,0,0,0,0,466,1,12,Matches
88,Tajon Buchanan,"MF,DF",ca Canada,23,1999,2.9,89,81,8,0,0,0,8,8,0,0,0,0,61,0,4,Matches
89,Ante Budimir,FW,hr Croatia,30,1991,0.6,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
90,Osman Bukari,MF,gh Ghana,23,1998,0.7,20,19,0,0,0,0,1,0,0,0,0,0,14,1,1,Matches
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1989,2.4,97,87,10,4,0,1,0,6,0,0,0,0,78,0,0,Matches
92,Firas Al-Buraikan,"MF,FW",sa Saudi Arabia,22,2000,3.0,63,62,0,0,0,0,2,0,0,0,0,0,42,1,7,Matches
93,Sergio Busquets,MF,es Spain,33,1988,4.0,289,278,11,10,0,1,0,1,0,0,0,0,261,0,2,Matches
94,Martín Cáceres,DF,uy Uruguay,35,1987,1.0,79,66,13,1,0,0,0,12,0,0,0,0,68,0,0,Matches
95,Moisés Caicedo,MF,ec Ecuador,20,2001,3.0,153,149,4,4,0,0,0,0,0,0,0,0,126,0,3,Matches
96,Francisco Calvo,DF,cr Costa Rica,29,1992,2.0,104,93,11,4,0,3,0,6,0,0,0,0,86,0,0,Matches
97,Eduardo Camavinga,DF,fr France,19,2002,1.6,101,88,13,2,0,0,2,11,0,0,0,0,88,0,3,Matches
98,Joel Campbell,"FW,MF",cr Costa Rica,29,1992,3.0,138,116,19,6,0,5,7,2,1,1,0,0,104,3,4,Matches
99,João Cancelo,DF,pt Portugal,28,1994,3.4,271,240,31,4,0,8,15,27,0,0,0,0,221,0,5,Matches
100,Agustín Canobbio,MF,uy Uruguay,23,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
101,Yannick Carrasco,"FW,DF",be Belgium,28,1993,1.3,46,43,3,1,1,0,2,2,0,0,0,0,39,0,0,Matches
102,Cameron Carter-Vickers,DF,us United States,24,1997,1.0,58,54,4,4,0,1,0,0,0,0,0,0,50,0,0,Matches
103,Dani Carvajal,DF,es Spain,30,1992,1.5,135,109,26,7,0,0,0,19,0,0,0,0,121,0,4,Matches
104,William Carvalho,MF,pt Portugal,30,1992,2.4,170,164,5,5,0,0,0,0,0,0,0,0,156,1,1,Matches
105,Casemiro,MF,br Brazil,30,1992,4.3,251,246,4,4,1,3,2,0,0,0,0,0,208,1,3,Matches
106,Matty Cash,DF,pl Poland,24,1997,4.0,160,127,33,3,0,2,9,30,0,0,0,0,123,0,6,Matches
107,Timothy Castagne,DF,be Belgium,26,1995,3.0,202,183,19,4,0,0,3,15,0,0,0,0,176,0,4,Matches
108,Jean-Charles Castelletto,DF,cm Cameroon,27,1995,2.0,82,77,5,5,1,2,3,0,0,0,0,0,66,0,0,Matches
109,Lucas Cavallini,FW,ca Canada,29,1992,0.2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
110,Edinson Cavani,FW,uy Uruguay,35,1987,1.4,37,36,1,0,0,0,0,0,1,0,0,0,27,0,2,Matches
111,Ghaylène Chaalali,MF,tn Tunisia,28,1994,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
112,Daniel Chacón,MF,cr Costa Rica,21,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
113,Ilias Chair,MF,ma Morocco,24,1997,0.5,15,15,0,0,0,0,2,0,0,0,0,0,13,0,0,Matches
114,Kwon Chang-hoon,"FW,MF",kr Korea Republic,27,1994,0.6,25,24,1,0,0,0,3,0,1,0,0,0,19,0,2,Matches
