Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
212,Nader Ghandri,DF,tn Tunisia,27,1995,1.0,33,32,1,0,0,0,0,0,0,0,0,0,27,0,0,Matches
213,Saman Ghoddos,MF,ir IR Iran,28,1993,0.5,20,17,3,1,0,0,2,1,1,1,0,0,15,0,1,Matches
214,Ali Gholizadeh,"MF,FW",ir IR Iran,26,1996,2.2,72,66,6,0,1,2,4,3,3,2,0,0,46,0,2,Matches
215,Matthias Ginter,DF,de Germany,28,1994,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
216,Olivier Giroud,FW,fr France,35,1986,4.7,74,66,7,0,1,1,0,0,0,0,0,0,48,1,0,Matches
217,Kamil Glik,DF,pl Poland,34,1988,4.0,130,125,5,4,0,0,0,0,0,0,0,0,118,0,0,Matches
218,Serge Gnabry,"FW,MF",de Germany,26,1995,2.9,118,112,4,0,0,0,7,4,0,0,0,0,86,2,8,Matches
219,Diego Godín,DF,uy Uruguay,36,1986,1.7,103,101,2,2,0,0,0,0,0,0,0,0,87,0,0,Matches
220,Maxi Gómez,FW,uy Uruguay,25,1996,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
221,Papu Gómez,"MF,FW",ar Argentina,34,1988,1.2,60,56,1,0,0,1,1,0,1,0,0,0,53,3,0,Matches
222,Shūichi Gonda,GK,jp Japan,33,1989,4.3,113,73,39,13,0,1,0,0,0,0,0,0,68,1,0,Matches
223,Craig Goodwin,MF,au Australia,30,1991,2.6,95,84,11,3,0,0,18,4,4,3,1,0,58,0,4,Matches
224,Leon Goretzka,MF,de Germany,27,1995,1.8,57,55,0,0,0,0,1,0,0,0,0,0,42,2,1,Matches
225,Mario Götze,MF,de Germany,30,1992,0.4,23,23,0,0,0,0,2,0,0,0,0,0,21,0,2,Matches
226,Jack Grealish,FW,eng England,26,1995,1.0,54,53,1,1,0,0,0,0,0,0,0,0,48,0,3,Matches
227,Antoine Griezmann,MF,fr France,31,1991,6.0,329,274,52,20,4,5,40,1,28,13,11,0,258,3,5,Matches
228,Kamil Grosicki,MF,pl Poland,34,1988,0.0,6,6,0,0,0,0,3,0,0,0,0,0,4,0,0,Matches
229,Carlos Gruezo,MF,ec Ecuador,27,1995,0.5,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,Matches
230,Marko Grujić,MF,rs Serbia,26,1996,0.1,17,16,1,0,0,0,0,1,0,0,0,0,14,0,0,Matches
231,Andrés Guardado,MF,mx Mexico,35,1986,0.5,16,14,2,1,0,0,0,0,0,0,0,0,11,0,1,Matches
232,Nemanja Gudelj,"MF,DF",rs Serbia,30,1991,1.0,52,51,1,1,0,1,0,0,0,0,0,0,44,0,1,Matches
233,Mattéo Guendouzi,"FW,MF",fr France,23,1999,0.9,33,30,3,1,0,1,0,1,0,0,0,0,27,0,2,Matches
234,Raphaël Guerreiro,DF,pt Portugal,28,1993,3.1,185,156,28,1,0,0,13,25,2,0,2,0,156,1,2,Matches
235,Cho Guesung,FW,kr Korea Republic,24,1998,3.1,63,56,7,0,0,0,1,0,0,0,0,0,40,0,0,Matches
236,Pape Gueye,MF,sn Senegal,23,1999,1.7,62,55,6,3,0,0,1,0,2,0,0,0,45,1,2,Matches
237,Bruno Guimarães,MF,br Brazil,24,1997,0.8,54,51,2,1,0,0,3,0,1,1,0,0,43,1,2,Matches
238,İlkay Gündoğan,MF,de Germany,31,1990,2.1,168,164,4,4,1,1,1,0,0,0,0,0,150,0,4,Matches
239,Erick Gutiérrez,MF,mx Mexico,26,1995,0.5,29,28,1,1,0,0,0,0,0,0,0,0,24,0,0,Matches
240,Joško Gvardiol,DF,hr Croatia,20,2002,7.7,519,506,11,10,2,3,1,1,0,0,0,0,464,2,0,Matches
241,Asiri Haitham,FW,sa Saudi Arabia,21,2001,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
242,Ehsan Hajsafi,"MF,DF",ir IR Iran,32,1990,2.6,98,82,16,6,1,1,11,7,3,0,3,0,61,0,3,Matches
243,Achraf Hakimi,DF,ma Morocco,23,1998,7.0,382,308,73,6,1,5,12,67,0,0,0,0,312,1,8,Matches
244,Abderrazak Hamdallah,FW,ma Morocco,31,1990,0.8,15,14,1,0,0,0,0,0,0,0,0,0,8,0,1,Matches
245,Abdelkarim Hassan,DF,qa Qatar,28,1993,3.0,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8,Matches
246,Ali Al Hassan,MF,sa Saudi Arabia,25,1997,0.5,7,6,1,1,0,0,1,0,0,0,0,0,4,0,1,Matches
247,Abdulaziz Hatem,MF,qa Qatar,31,1990,2.2,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4,Matches
248,Kai Havertz,FW,de Germany,23,1999,1.1,34,32,2,0,0,0,2,0,0,0,0,0,27,0,1,Matches
249,Hassan Al-Haydos,MF,qa Qatar,31,1990,2.3,80,75,5,2,0,2,4,1,2,2,0,0,65,0,3,Matches
250,Eden Hazard,MF,be Belgium,31,1991,1.4,58,58,0,0,1,0,1,0,0,0,0,0,46,0,2,Matches
251,Thorgan Hazard,FW,be Belgium,29,1993,1.2,58,43,14,1,0,0,9,6,7,3,3,0,40,1,2,Matches
252,Hwang Hee-chan,"MF,FW",kr Korea Republic,26,1996,1.3,59,56,2,0,0,0,3,2,0,0,0,0,45,1,4,Matches
253,Jordan Henderson,MF,eng England,31,1990,3.0,163,153,10,8,1,0,8,2,0,0,0,0,137,0,3,Matches
254,Wayne Hennessey,GK,wls Wales,35,1987,1.9,66,46,20,4,0,1,0,0,0,0,0,0,50,0,0,Matches
255,Lucas Hernández,DF,fr France,26,1996,0.1,10,10,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
256,Theo Hernández,DF,fr France,24,1997,5.6,339,286,52,7,0,2,13,45,0,0,0,0,289,1,4,Matches
257,Héctor Herrera,MF,mx Mexico,32,1990,1.8,78,76,2,2,0,2,4,0,0,0,0,0,64,0,3,Matches
258,Son Heung-min,"FW,MF",kr Korea Republic,29,1992,4.0,115,92,22,1,1,2,21,1,18,6,9,0,77,1,6,Matches
259,Piero Hincapié,DF,ec Ecuador,20,2002,3.0,200,193,5,3,0,2,1,2,0,0,0,0,168,2,0,Matches
260,Jonas Hofmann,FW,de Germany,29,1992,0.3,20,19,1,0,0,0,0,1,0,0,0,0,16,0,1,Matches
261,Junior Hoilett,"FW,MF",ca Canada,32,1990,1.8,59,50,8,0,0,0,13,1,5,1,4,0,43,1,2,Matches
262,Martin Hongla,MF,cm Cameroon,24,1998,1.3,61,60,1,0,1,0,1,1,0,0,0,0,49,0,1,Matches
263,Ricardo Horta,FW,pt Portugal,27,1994,1.3,46,42,4,1,1,0,5,1,2,2,0,0,31,0,0,Matches
264,Hossein Hosseini,GK,ir IR Iran,29,1992,1.8,47,30,15,4,0,0,0,0,0,0,0,0,23,2,0,Matches
265,Majid Hosseini,DF,ir IR Iran,25,1996,3.0,106,100,6,4,0,2,0,1,0,0,0,0,86,0,1,Matches
266,Ajdin Hrustic,"MF,FW",au Australia,25,1996,0.7,21,19,2,1,0,1,1,1,0,0,0,0,17,0,0,Matches
267,Atiba Hutchinson,MF,ca Canada,39,1983,1.8,112,108,4,4,0,0,0,0,0,0,0,0,100,0,3,Matches
268,Pierre Højbjerg,MF,dk Denmark,26,1995,3.0,224,216,8,5,0,10,1,2,0,0,0,0,200,0,1,Matches
269,Romario Ibarra,MF,ec Ecuador,27,1994,0.8,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
270,Ivan Ilić,MF,rs Serbia,21,2001,0.4,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0,Matches
271,Hwang In-beom,MF,kr Korea Republic,25,1996,3.7,247,242,5,5,0,8,6,0,0,0,0,0,194,0,2,Matches
272,Jackson Irvine,"MF,FW",au Australia,29,1993,3.9,128,121,7,2,0,1,2,1,0,0,0,0,103,0,4,Matches
273,Ko Itakura,DF,jp Japan,25,1997,3.0,111,109,2,2,1,0,0,0,0,0,0,0,98,0,1,Matches
274,Hiroki Ito,DF,jp Japan,23,1999,0.5,63,61,2,0,0,1,0,2,0,0,0,0,58,0,0,Matches
275,Junya Ito,"MF,FW",jp Japan,29,1993,3.6,97,80,15,1,0,0,14,9,5,0,3,0,59,2,4,Matches
276,Yahya Jabrane,MF,ma Morocco,30,1991,0.2,,,,,,,0,,,,,,,,,Matches
277,Nicolas Jackson,FW,sn Senegal,20,2001,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
278,Lee Jae-sung,"MF,FW",kr Korea Republic,29,1992,2.3,97,97,0,0,0,0,1,0,0,0,0,0,84,0,2,Matches
279,Alireza Jahanbakhsh,MF,ir IR Iran,28,1993,0.7,17,14,2,1,0,0,1,0,0,0,0,0,11,1,1,Matches
280,Kristijan Jakić,FW,hr Croatia,25,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
281,Ismail Jakobs,DF,sn Senegal,22,1999,3.1,156,115,41,7,0,0,18,29,5,3,2,0,107,0,0,Matches
282,Abolfazl Jalali,DF,ir IR Iran,23,1998,0.2,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1,Matches
283,Daniel James,"FW,MF",wls Wales,24,1997,1.7,36,32,3,0,0,0,4,1,1,0,0,0,24,1,0,Matches
284,Vincent Janssen,FW,nl Netherlands,27,1994,1.0,20,19,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches
285,Ardon Jasari,FW,ch Switzerland,19,2002,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
286,Issam Jebali,FW,tn Tunisia,30,1991,2.0,35,30,4,0,0,0,2,1,0,0,0,0,25,1,2,Matches
287,Artur Jędrzejczyk,DF,pl Poland,34,1987,0.2,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
288,Mathias Jensen,MF,dk Denmark,26,1996,0.9,67,63,4,1,0,1,2,3,0,0,0,0,52,0,0,Matches
289,Gabriel Jesus,FW,br Brazil,25,1997,1.0,28,26,2,0,0,0,1,1,0,0,0,0,22,0,2,Matches
290,Raúl Jiménez,FW,mx Mexico,31,1991,0.7,32,28,3,0,0,0,2,0,0,0,0,0,20,1,2,Matches
291,Kim Jin-su,DF,kr Korea Republic,30,1992,3.5,146,115,31,1,0,0,16,30,0,0,0,0,105,0,4,Matches
292,Brennan Johnson,"FW,MF",wls Wales,21,2001,1.0,17,16,1,0,0,0,1,1,0,0,0,0,10,0,1,Matches
293,Alistair Johnston,DF,ca Canada,23,1998,3.0,186,145,41,6,0,1,8,35,0,0,0,0,147,0,3,Matches
294,Frenkie de Jong,MF,nl Netherlands,25,1997,5.3,364,357,7,4,0,2,3,3,0,0,0,0,323,0,4,Matches
295,Luuk de Jong,FW,nl Netherlands,31,1990,0.6,12,10,2,0,0,0,0,0,0,0,0,0,8,0,1,Matches
296,Luka Jović,FW,rs Serbia,24,1997,0.4,10,9,1,0,0,0,0,1,0,0,0,0,6,0,0,Matches
297,Son Jun-ho,"MF,DF",kr Korea Republic,30,1992,0.8,59,58,1,1,0,2,0,0,0,0,0,0,55,0,0,Matches
298,Vinicius Júnior,FW,br Brazil,21,2000,3.3,90,88,2,0,0,0,12,2,0,0,0,0,68,0,4,Matches
299,Josip Juranović,DF,hr Croatia,26,1995,6.7,405,336,68,4,0,2,24,64,0,0,0,0,318,1,16,Matches
300,Daichi Kamada,"FW,MF",jp Japan,25,1996,3.6,104,92,12,2,0,2,5,1,6,2,3,0,83,0,2,Matches
301,Jakub Kamiński,MF,pl Poland,20,2002,2.6,61,59,2,0,0,0,4,2,0,0,0,0,37,0,3,Matches
302,Hossein Kanaanizadegan,DF,ir IR Iran,28,1994,0.5,11,10,1,0,0,0,0,1,0,0,0,0,8,0,0,Matches
303,Harry Kane,FW,eng England,28,1993,4.5,98,94,3,0,2,1,6,1,0,0,0,0,62,1,5,Matches
304,Lee Kangin,"MF,FW",kr Korea Republic,21,2001,1.6,77,66,11,5,0,1,12,0,5,3,2,0,62,0,1,Matches
305,Mohamed Kanno,"MF,FW",sa Saudi Arabia,27,1994,3.0,147,142,5,5,0,1,0,0,0,0,0,0,119,0,1,Matches
306,Fran Karačić,DF,au Australia,26,1996,1.0,54,43,11,0,0,0,5,11,0,0,0,0,33,0,1,Matches
307,Ali Karimi,MF,ir IR Iran,28,1994,1.1,45,44,1,1,0,0,2,0,0,0,0,0,34,0,2,Matches
308,Mark-Anthony Kaye,MF,ca Canada,27,1994,0.7,61,59,2,1,0,0,0,1,0,0,0,0,51,0,0,Matches
309,Wajdi Kechrida,DF,tn Tunisia,26,1995,1.2,69,48,21,0,0,0,5,21,0,0,0,0,44,0,6,Matches
310,Thilo Kehrer,DF,de Germany,25,1996,0.8,29,24,5,0,0,0,0,5,0,0,0,0,22,0,2,Matches
311,Bilal El Khannous,MF,ma Morocco,18,2004,0.6,24,24,0,0,0,1,0,0,0,0,0,0,20,0,3,Matches
312,Wahbi Khazri,"FW,MF",tn Tunisia,31,1991,0.9,20,16,3,1,0,0,2,0,2,2,0,0,13,1,1,Matches
313,Musab Kheder,DF,qa Qatar,28,1993,0.1,3,1,2,1,0,1,0,1,0,0,0,0,3,0,0,Matches
314,Boualem Khoukhi,DF,qa Qatar,31,1990,3.0,197,184,12,10,0,1,0,1,0,0,0,0,169,1,1,Matches
315,Joshua Kimmich,"MF,DF",de Germany,27,1995,3.0,267,234,31,7,1,2,21,4,18,8,7,2,226,2,2,Matches
316,Jakub Kiwior,DF,pl Poland,22,2000,3.9,205,193,12,5,0,3,0,0,0,0,0,0,174,0,2,Matches
317,Simon Kjær,DF,dk Denmark,33,1989,0.7,59,59,0,0,0,0,0,0,0,0,0,0,50,0,0,Matches
318,Davy Klaassen,"MF,FW",nl Netherlands,29,1993,2.1,77,77,0,0,1,0,2,0,0,0,0,0,59,0,1,Matches
319,Lukas Klostermann,DF,de Germany,26,1996,0.7,52,42,10,2,0,1,0,8,0,0,0,0,51,0,0,Matches
320,Gregor Kobel,GK,ch Switzerland,24,1997,1.0,29,18,11,3,0,0,0,0,0,0,0,0,21,0,0,Matches
321,Koke,MF,es Spain,30,1992,0.6,62,60,0,0,0,2,0,0,0,0,0,0,56,2,0,Matches
322,Randal Kolo Muani,FW,fr France,23,1998,2.0,43,40,2,0,0,0,1,0,0,0,0,0,25,1,2,Matches
323,Ibrahima Konaté,DF,fr France,23,1999,3.3,235,225,10,9,1,1,1,1,0,0,0,0,215,0,1,Matches
324,Ismaël Koné,"MF,DF",ca Canada,20,2002,1.2,101,99,2,2,0,4,1,0,0,0,0,0,96,0,1,Matches
325,Teun Koopmeiners,MF,nl Netherlands,24,1998,2.4,119,112,5,4,0,1,2,1,0,0,0,0,90,2,5,Matches
326,Filip Kostić,DF,rs Serbia,29,1992,2.0,113,89,24,2,1,0,16,22,0,0,0,0,72,0,5,Matches
327,Kalidou Koulibaly,DF,sn Senegal,30,1991,4.0,205,185,20,18,0,4,0,0,0,0,0,0,156,0,3,Matches
328,Jules Koundé,DF,fr France,23,1998,5.3,311,263,44,2,0,0,2,42,0,0,0,0,252,4,8,Matches
329,Cheikhou Kouyaté,MF,sn Senegal,32,1989,0.8,23,22,1,0,0,0,2,0,0,0,0,0,19,0,1,Matches
330,Mateo Kovačić,MF,hr Croatia,28,1994,7.1,460,446,14,5,3,5,3,1,5,0,0,0,415,0,6,Matches
331,Andrej Kramarić,"FW,MF",hr Croatia,30,1991,5.3,176,167,9,0,0,1,6,3,0,0,0,0,153,0,3,Matches
332,Grzegorz Krychowiak,MF,pl Poland,32,1990,3.7,127,123,4,4,0,3,1,0,0,0,0,0,93,0,3,Matches
333,Takefusa Kubo,FW,jp Japan,21,2001,1.0,11,11,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
334,Pierre Kunde,MF,cm Cameroon,26,1995,1.5,49,40,9,5,0,1,4,1,3,2,1,0,38,0,2,Matches
335,Garang Kuol,"FW,MF",au Australia,17,2004,0.4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
336,Daniel Kyereh,"MF,DF",gh Ghana,26,1996,0.4,23,19,4,1,0,0,5,0,3,2,1,0,18,0,0,Matches
337,Kwon Kyung-won,DF,kr Korea Republic,30,1992,1.0,43,41,2,2,0,0,0,0,0,0,0,0,39,0,0,Matches
338,Aïssa Laïdouni,MF,tn Tunisia,25,1996,2.7,123,118,5,3,0,1,3,2,0,0,0,0,99,0,3,Matches
339,Tariq Lamptey,DF,gh Ghana,21,2000,1.1,34,24,10,0,0,0,3,10,0,0,0,0,21,0,1,Matches
340,Noa Lang,MF,nl Netherlands,22,1999,0.1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,Matches
341,Aymeric Laporte,DF,es Spain,28,1994,3.3,438,424,14,9,0,3,0,3,0,0,0,0,413,0,2,Matches
342,Cyle Larin,FW,ca Canada,27,1995,1.5,29,29,0,0,0,0,3,0,0,0,0,0,21,0,3,Matches
343,Richie Laryea,"DF,MF",ca Canada,27,1995,1.8,47,46,1,0,0,0,1,1,0,0,0,0,35,0,2,Matches
344,Darko Lazović,DF,rs Serbia,31,1990,0.3,12,12,0,0,0,0,1,0,0,0,0,0,7,0,1,Matches
345,Rafael Leão,FW,pt Portugal,23,1999,1.0,47,47,0,0,0,1,6,0,0,0,0,0,32,0,1,Matches
346,Mathew Leckie,"MF,FW",au Australia,31,1991,3.7,103,101,2,0,0,0,4,2,0,0,0,0,67,0,8,Matches
347,Robert Lewandowski,FW,pl Poland,33,1988,4.0,91,90,0,0,0,1,3,0,0,0,0,0,61,1,6,Matches
348,Matthijs de Ligt,DF,nl Netherlands,22,1999,1.0,45,43,2,2,0,1,0,0,0,0,0,0,41,0,0,Matches
349,Jesper Lindstrøm,"MF,FW",dk Denmark,22,2000,2.2,52,49,2,0,0,0,3,2,0,0,0,0,36,1,2,Matches
350,Marko Livaja,FW,hr Croatia,28,1993,2.7,58,55,3,0,2,0,1,0,0,0,0,0,35,0,2,Matches
351,Dominik Livaković,GK,hr Croatia,27,1995,7.7,228,166,62,12,0,0,0,0,0,0,0,0,194,0,1,Matches
352,Marcos Llorente,DF,es Spain,27,1995,1.3,106,89,16,3,0,0,2,13,0,0,0,0,95,1,2,Matches
353,Hugo Lloris,GK,fr France,35,1986,6.3,182,108,73,17,0,0,0,0,0,0,0,0,110,1,0,Matches
354,Dejan Lovren,DF,hr Croatia,32,1989,6.7,460,444,15,14,0,9,3,1,0,0,0,0,405,1,4,Matches
355,Hirving Lozano,FW,mx Mexico,26,1995,2.8,77,69,7,5,3,0,24,2,0,0,0,0,42,1,7,Matches
356,Romelu Lukaku,FW,be Belgium,29,1993,0.6,9,7,2,0,0,0,0,0,0,0,0,0,6,0,0,Matches
357,Saša Lukić,MF,rs Serbia,25,1996,2.7,162,159,3,3,1,4,1,0,0,0,0,0,143,0,1,Matches
358,Ali Maâloul,DF,tn Tunisia,32,1990,1.0,63,43,19,1,0,1,13,12,6,5,1,0,39,1,2,Matches
359,Awer Mabil,MF,au Australia,26,1995,0.3,14,13,1,0,0,1,0,1,0,0,0,0,10,0,1,Matches
360,Alexis Mac Allister,MF,ar Argentina,23,1998,6.1,265,264,0,0,0,1,1,0,0,0,0,0,234,1,2,Matches
361,Jamie Maclaren,FW,au Australia,28,1993,0.6,15,15,0,0,0,0,2,0,0,0,0,0,7,0,0,Matches
362,Assim Madibo,MF,qa Qatar,25,1996,1.7,70,67,3,3,0,0,0,0,0,0,0,0,58,0,1,Matches
363,Abdullah Madu,"DF,MF",sa Saudi Arabia,28,1993,0.5,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1,Matches
364,Daizen Maeda,FW,jp Japan,24,1997,2.0,17,15,2,0,0,0,0,0,0,0,0,0,8,0,0,Matches
365,Harry Maguire,DF,eng England,29,1993,4.8,407,391,16,16,0,5,1,0,0,0,0,0,354,0,3,Matches
366,Lovro Majer,"MF,FW",hr Croatia,24,1998,1.4,98,93,4,1,0,0,8,0,3,3,0,0,78,1,2,Matches
367,Nemanja Maksimović,MF,rs Serbia,27,1995,1.4,57,55,2,2,0,0,2,0,0,0,0,0,50,0,1,Matches
368,Abdulellah Al-Malki,MF,sa Saudi Arabia,27,1994,1.9,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1,Matches
369,Steve Mandanda,GK,fr France,37,1985,1.0,31,19,12,3,0,0,0,0,0,0,0,0,19,0,0,Matches
370,José María Giménez,DF,uy Uruguay,27,1995,3.0,174,165,8,7,1,1,2,1,0,0,0,0,141,1,0,Matches
371,João Mário,"FW,MF",pt Portugal,29,1993,0.9,40,37,2,0,0,0,2,0,2,1,1,0,37,1,0,Matches
372,Marquinhos,DF,br Brazil,28,1994,4.7,368,355,12,10,0,3,1,2,0,0,0,0,352,1,1,Matches
373,Henry Martín,FW,mx Mexico,29,1992,1.6,20,16,2,0,0,0,0,0,0,0,0,0,13,2,0,Matches
374,Martinelli,FW,br Brazil,20,2001,1.3,45,41,4,0,0,0,5,4,0,0,0,0,34,0,0,Matches
375,Carlos Martínez,DF,cr Costa Rica,23,1999,0.5,15,9,6,1,0,0,0,5,0,0,0,0,10,0,0,Matches
376,Emiliano Martínez,GK,ar Argentina,29,1992,7.7,187,131,55,16,0,0,0,0,0,0,0,0,120,1,1,Matches
377,Lautaro Martínez,FW,ar Argentina,24,1997,2.7,63,53,10,0,0,0,0,0,0,0,0,0,47,0,0,Matches
378,Lisandro Martínez,DF,ar Argentina,24,1998,3.4,156,146,9,8,0,1,1,1,0,0,0,0,133,1,0,Matches
379,Pape Matar Sarr,MF,sn Senegal,19,2002,0.7,43,35,8,2,0,1,5,0,6,3,1,0,36,0,0,Matches
380,Rónald Matarrita,"DF,MF",cr Costa Rica,27,1994,0.3,29,26,3,2,0,0,3,1,0,0,0,0,18,0,2,Matches
381,Eric Maxim Choupo-Moting,"FW,MF",cm Cameroon,33,1989,2.8,66,59,7,0,0,0,0,0,0,0,0,0,44,0,1,Matches
382,Noussair Mazraoui,DF,ma Morocco,24,1997,4.1,121,96,25,4,0,2,2,21,0,0,0,0,98,0,2,Matches
383,Kylian Mbappé,FW,fr France,23,1998,6.6,229,216,13,3,3,2,25,4,5,3,0,0,173,0,14,Matches
384,Bryan Mbeumo,"FW,MF",cm Cameroon,22,1999,2.6,85,74,11,5,0,0,12,0,6,3,2,0,49,0,3,Matches
385,Riley McGree,"FW,MF",au Australia,23,1998,2.9,75,73,2,0,0,0,5,0,1,0,1,0,57,0,1,Matches
386,Weston McKennie,MF,us United States,23,1998,3.0,153,141,11,2,0,2,1,9,0,0,0,0,117,1,2,Matches
387,Hannibal Mejbri,MF,tn Tunisia,19,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
388,Memphis,FW,nl Netherlands,28,1994,3.3,123,113,8,0,1,1,2,1,0,0,0,0,93,2,5,Matches
389,Nuno Mendes,DF,pt Portugal,19,2002,0.5,32,27,5,0,0,1,2,5,0,0,0,0,29,0,0,Matches
390,Jhegson Méndez,MF,ec Ecuador,25,1997,2.0,140,135,4,4,1,0,2,0,0,0,0,0,128,1,2,Matches
391,Edouard Mendy,GK,sn Senegal,30,1992,4.0,120,83,37,11,0,2,0,0,0,0,0,0,88,0,0,Matches
392,Nampalys Mendy,MF,sn Senegal,29,1992,3.0,159,156,3,3,0,8,2,0,0,0,0,0,141,0,3,Matches
393,Gideon Mensah,DF,gh Ghana,23,1998,1.0,46,39,7,1,0,1,1,6,0,0,0,0,36,0,0,Matches
394,Chris Mepham,DF,wls Wales,24,1997,3.0,172,167,5,3,0,0,0,2,0,0,0,0,141,0,0,Matches
395,Yassine Meriah,DF,tn Tunisia,28,1993,3.0,171,163,8,7,2,1,2,1,0,0,0,0,139,0,1,Matches
396,Dries Mertens,"MF,FW",be Belgium,35,1987,0.8,33,30,3,0,0,0,5,0,3,2,1,0,22,0,1,Matches
397,Lionel Messi,FW,ar Argentina,34,1987,7.7,371,323,44,19,4,4,20,0,20,6,11,0,300,4,14,Matches
398,Thomas Meunier,DF,be Belgium,30,1991,2.3,147,130,17,2,1,2,6,15,0,0,0,0,110,0,5,Matches
399,Nikola Milenković,DF,rs Serbia,24,1997,3.0,163,160,3,1,0,1,1,2,0,0,0,0,141,0,3,Matches
400,Arkadiusz Milik,"FW,MF",pl Poland,28,1994,1.1,29,29,0,0,0,1,0,0,0,0,0,0,19,0,3,Matches
401,Sergej Milinković-Savić,MF,rs Serbia,27,1995,2.6,120,118,2,2,2,2,1,0,0,0,0,0,87,0,4,Matches
402,Vanja Milinković-Savić,GK,rs Serbia,25,1997,3.0,125,97,28,7,0,0,0,0,0,0,0,0,90,0,0,Matches
403,Éder Militão,DF,br Brazil,24,1998,3.9,277,252,25,6,0,4,3,19,0,0,0,0,251,0,1,Matches
404,Liam Millar,DF,ca Canada,22,1999,0.1,9,7,2,0,0,0,2,1,1,1,0,0,4,0,0,Matches
405,Kamal Miller,DF,ca Canada,25,1997,3.0,205,194,9,5,0,0,0,4,0,0,0,0,186,2,1,Matches
406,Kim Min-jae,DF,kr Korea Republic,25,1996,3.0,191,190,0,0,0,6,1,0,0,0,0,0,167,1,2,Matches
407,Takumi Minamino,FW,jp Japan,27,1995,0.7,22,20,2,1,0,0,3,0,0,0,0,0,14,0,2,Matches
408,Kaoru Mitoma,MF,jp Japan,25,1997,1.8,70,57,13,0,0,0,0,13,0,0,0,0,50,0,2,Matches
409,Aleksandar Mitrović,FW,rs Serbia,27,1994,2.9,69,57,11,0,0,2,1,0,0,0,0,0,54,1,1,Matches
410,Stefan Mitrović,DF,rs Serbia,32,1990,0.4,21,21,0,0,0,0,0,0,0,0,0,0,18,0,0,Matches
411,Filip Mladenović,DF,rs Serbia,30,1991,0.7,25,18,7,0,0,0,1,7,0,0,0,0,20,0,1,Matches
412,Luka Modrić,MF,hr Croatia,36,1985,7.3,551,497,53,33,0,7,33,0,19,7,5,0,465,1,10,Matches
413,Ismail Mohamad,FW,qa Qatar,32,1990,1.9,,,,,,,8,,,,,,,,,Matches
414,Milad Mohammadi,DF,ir IR Iran,28,1993,2.2,68,56,12,0,0,1,2,12,0,0,0,0,44,0,4,Matches
415,Kudus Mohammed,"FW,MF",gh Ghana,21,2000,2.7,87,78,8,4,1,1,6,1,1,1,0,0,62,1,3,Matches
416,Sadegh Moharrami,DF,ir IR Iran,26,1996,1.0,26,19,7,0,0,0,3,7,0,0,0,0,18,0,0,Matches
417,Nahuel Molina,DF,ar Argentina,24,1998,6.3,358,294,62,0,0,1,6,62,0,0,0,0,291,2,4,Matches
418,César Montes,DF,mx Mexico,25,1997,3.0,197,192,3,2,0,3,0,1,0,0,0,0,159,2,3,Matches
419,Gonzalo Montiel,"DF,MF",ar Argentina,25,1997,1.3,81,69,12,0,0,0,3,12,0,0,0,0,69,0,4,Matches
420,Kim Moonhwan,DF,kr Korea Republic,26,1995,4.0,242,197,45,2,0,0,15,43,0,0,0,0,201,0,4,Matches
421,Kieffer Moore,FW,wls Wales,29,1992,2.5,56,56,0,0,0,1,0,0,0,0,0,0,36,0,2,Matches
422,Shaquell Moore,DF,us United States,25,1996,0.2,21,20,1,0,0,0,0,1,0,0,0,0,14,0,0,Matches
423,Aaron Mooy,MF,au Australia,31,1990,4.0,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4,Matches
424,Álvaro Morata,FW,es Spain,29,1992,2.1,41,40,1,0,1,1,0,0,0,0,0,0,28,0,1,Matches
425,Héctor Moreno,DF,mx Mexico,34,1988,3.0,195,179,16,15,0,2,0,1,0,0,0,0,165,0,0,Matches
