Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
334,Pierre Kunde,MF,cm Cameroon,26,1995,1.5,0,5,2,40.0,3.44,1.37,0.00,0.00,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
335,Garang Kuol,"FW,MF",au Australia,17,2004,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,9.6,0,0,0,0.4,0.4,0.38,-0.4,-0.4,Matches
336,Daniel Kyereh,"MF,DF",gh Ghana,26,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
337,Kwon Kyung-won,DF,kr Korea Republic,30,1992,1.0,0,1,0,0.0,0.99,0.00,0.00,,33.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
338,Aïssa Laïdouni,MF,tn Tunisia,25,1996,2.7,0,2,0,0.0,0.74,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
339,Tariq Lamptey,DF,gh Ghana,21,2000,1.1,0,1,0,0.0,0.88,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
340,Noa Lang,MF,nl Netherlands,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
341,Aymeric Laporte,DF,es Spain,28,1994,3.3,0,1,0,0.0,0.30,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
342,Cyle Larin,FW,ca Canada,27,1995,1.5,0,3,1,33.3,1.97,0.66,0.00,0.00,11.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
343,Richie Laryea,"DF,MF",ca Canada,27,1995,1.8,0,2,0,0.0,1.13,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
344,Darko Lazović,DF,rs Serbia,31,1990,0.3,0,1,0,0.0,3.60,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
345,Rafael Leão,FW,pt Portugal,23,1999,1.0,2,5,2,40.0,5.11,2.05,0.40,1.00,21.2,0,0,0,0.4,0.4,0.08,+1.6,+1.6,Matches
346,Mathew Leckie,"MF,FW",au Australia,31,1991,3.7,1,1,1,100.0,0.27,0.27,1.00,1.00,13.6,0,0,0,0.1,0.1,0.15,+0.9,+0.9,Matches
347,Robert Lewandowski,FW,pl Poland,33,1988,4.0,2,10,2,20.0,2.50,0.50,0.10,0.50,18.1,1,1,2,2.9,1.4,0.14,-0.9,-0.4,Matches
348,Matthijs de Ligt,DF,nl Netherlands,22,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
349,Jesper Lindstrøm,"MF,FW",dk Denmark,22,2000,2.2,0,3,1,33.3,1.35,0.45,0.00,0.00,16.2,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
350,Marko Livaja,FW,hr Croatia,28,1993,2.7,1,6,4,66.7,2.24,1.49,0.17,0.25,15.1,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
351,Dominik Livaković,GK,hr Croatia,27,1995,7.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
352,Marcos Llorente,DF,es Spain,27,1995,1.3,0,1,0,0.0,0.75,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
353,Hugo Lloris,GK,fr France,35,1986,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
354,Dejan Lovren,DF,hr Croatia,32,1989,6.7,0,4,0,0.0,0.60,0.00,0.00,,14.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
355,Hirving Lozano,FW,mx Mexico,26,1995,2.8,0,6,3,50.0,2.14,1.07,0.00,0.00,26.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
356,Romelu Lukaku,FW,be Belgium,29,1993,0.6,0,5,2,40.0,8.18,3.27,0.00,0.00,6.6,0,0,0,1.7,1.7,0.35,-1.7,-1.7,Matches
357,Saša Lukić,MF,rs Serbia,25,1996,2.7,0,1,0,0.0,0.37,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
358,Ali Maâloul,DF,tn Tunisia,32,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
359,Awer Mabil,MF,au Australia,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
360,Alexis Mac Allister,MF,ar Argentina,23,1998,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,19.0,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
361,Jamie Maclaren,FW,au Australia,28,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
362,Assim Madibo,MF,qa Qatar,25,1996,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
363,Abdullah Madu,"DF,MF",sa Saudi Arabia,28,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
364,Daizen Maeda,FW,jp Japan,24,1997,2.0,1,2,1,50.0,1.00,0.50,0.50,1.00,9.5,0,0,0,0.5,0.5,0.24,+0.5,+0.5,Matches
365,Harry Maguire,DF,eng England,29,1993,4.8,0,6,1,16.7,1.26,0.21,0.00,0.00,10.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
366,Lovro Majer,"MF,FW",hr Croatia,24,1998,1.4,1,4,2,50.0,2.77,1.38,0.25,0.50,23.2,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches
367,Nemanja Maksimović,MF,rs Serbia,27,1995,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
368,Abdulellah Al-Malki,MF,sa Saudi Arabia,27,1994,1.9,0,2,0,0.0,1.03,0.00,0.00,,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
369,Steve Mandanda,GK,fr France,37,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
370,José María Giménez,DF,uy Uruguay,27,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,13.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
