Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
58,Alejandro Balde,DF,es Spain,18,2003,1.4,2,1.75,1,0,0,0,1,0,1,0.87,1,0,0,0,0,0,Matches
59,Gareth Bale,FW,wls Wales,32,1989,2.5,4,1.60,3,0,0,0,1,0,1,0.40,0,0,0,0,1,0,Matches
60,Fodé Ballo-Touré,DF,sn Senegal,25,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Badr Banoun,DF,ma Morocco,28,1993,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Borna Barišić,DF,hr Croatia,29,1992,1.3,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Meshaal Barsham,GK,qa Qatar,24,1998,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Christian Bassogog,MF,cm Cameroon,26,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Michy Batshuayi,FW,be Belgium,28,1993,1.7,2,1.19,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Jan Bednarek,DF,pl Poland,26,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Aziz Behich,DF,au Australia,31,1990,4.0,6,1.50,2,1,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Alireza Beiranvand,GK,ir IR Iran,29,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Jude Bellingham,MF,eng England,18,2003,4.6,17,3.70,12,0,2,3,0,0,6,1.31,5,0,1,0,0,0,Matches
70,Anis Ben Slimane,MF,tn Tunisia,21,2001,1.6,7,4.26,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Jewison Bennette,MF,cr Costa Rica,17,2004,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Rodrigo Bentancur,MF,uy Uruguay,24,1997,2.4,8,3.38,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Bartosz Bereszyński,DF,pl Poland,29,1992,3.8,1,0.26,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Steven Berghuis,MF,nl Netherlands,30,1991,2.2,3,1.59,2,1,0,0,0,0,1,0.53,1,0,0,0,0,0,Matches
75,Steven Bergwijn,FW,nl Netherlands,24,1997,2.4,2,0.85,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Krystian Bielik,MF,pl Poland,24,1998,2.4,1,0.42,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Daley Blind,DF,nl Netherlands,32,1990,4.7,4,0.85,3,0,0,1,0,0,1,0.21,1,0,0,0,0,0,Matches
78,Celso Borges,MF,cr Costa Rica,34,1988,2.8,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Milan Borjan,GK,ca Canada,34,1987,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Karim Boudiaf,MF,qa Qatar,31,1990,2.1,3,1.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
