Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
303,Harry Kane,FW,eng England,28,1993,4.5,0,0,0,1,9,0,6,0,1,0,0,0,16,9,13,40.9,Matches
304,Lee Kangin,"MF,FW",kr Korea Republic,21,2001,1.6,1,0,0,2,4,0,12,0,3,0,0,0,6,0,1,0.0,Matches
305,Mohamed Kanno,"MF,FW",sa Saudi Arabia,27,1994,3.0,0,0,0,8,3,1,0,2,2,0,0,0,19,8,9,47.1,Matches
306,Fran Karačić,DF,au Australia,26,1996,1.0,0,0,0,3,0,0,5,2,1,0,0,0,9,4,4,50.0,Matches
307,Ali Karimi,MF,ir IR Iran,28,1994,1.1,0,0,0,4,1,0,2,3,3,0,0,0,6,3,2,60.0,Matches
308,Mark-Anthony Kaye,MF,ca Canada,27,1994,0.7,0,0,0,1,1,0,0,0,1,0,0,0,4,0,1,0.0,Matches
309,Wajdi Kechrida,DF,tn Tunisia,26,1995,1.2,1,0,0,2,0,0,5,0,3,0,0,0,6,1,2,33.3,Matches
310,Thilo Kehrer,DF,de Germany,25,1996,0.8,1,0,0,3,0,0,0,3,2,0,0,0,3,0,0,,Matches
311,Bilal El Khannous,MF,ma Morocco,18,2004,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
312,Wahbi Khazri,"FW,MF",tn Tunisia,31,1991,0.9,0,0,0,1,2,2,2,0,0,0,0,0,5,0,0,,Matches
313,Musab Kheder,DF,qa Qatar,28,1993,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,Matches
314,Boualem Khoukhi,DF,qa Qatar,31,1990,3.0,0,0,0,1,5,0,0,3,2,0,0,0,16,6,7,46.2,Matches
315,Joshua Kimmich,"MF,DF",de Germany,27,1995,3.0,1,0,0,2,2,0,21,3,2,0,0,0,19,4,1,80.0,Matches
316,Jakub Kiwior,DF,pl Poland,22,2000,3.9,1,0,0,1,0,0,0,4,1,0,0,0,11,3,4,42.9,Matches
317,Simon Kjær,DF,dk Denmark,33,1989,0.7,0,0,0,0,0,0,0,5,0,0,0,0,6,3,1,75.0,Matches
318,Davy Klaassen,"MF,FW",nl Netherlands,29,1993,2.1,0,0,0,1,3,0,2,1,2,0,0,0,14,2,2,50.0,Matches
319,Lukas Klostermann,DF,de Germany,26,1996,0.7,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,,Matches
320,Gregor Kobel,GK,ch Switzerland,24,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
321,Koke,MF,es Spain,30,1992,0.6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
322,Randal Kolo Muani,FW,fr France,23,1998,2.0,0,0,0,4,5,0,1,1,5,1,0,0,8,9,5,64.3,Matches
323,Ibrahima Konaté,DF,fr France,23,1999,3.3,0,0,0,2,4,0,1,7,6,0,0,0,14,5,1,83.3,Matches
324,Ismaël Koné,"MF,DF",ca Canada,20,2002,1.2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,,Matches
325,Teun Koopmeiners,MF,nl Netherlands,24,1998,2.4,1,0,0,6,1,0,2,4,5,0,0,0,12,4,3,57.1,Matches
326,Filip Kostić,DF,rs Serbia,29,1992,2.0,0,0,0,3,1,2,16,0,3,0,0,0,12,0,0,,Matches
327,Kalidou Koulibaly,DF,sn Senegal,30,1991,4.0,1,0,0,3,3,0,0,2,9,0,0,0,28,11,5,68.8,Matches
328,Jules Koundé,DF,fr France,23,1998,5.3,1,0,0,5,2,0,2,5,8,0,0,0,25,5,8,38.5,Matches
329,Cheikhou Kouyaté,MF,sn Senegal,32,1989,0.8,0,0,0,1,1,0,2,2,0,0,0,0,5,1,2,33.3,Matches
330,Mateo Kovačić,MF,hr Croatia,28,1994,7.1,2,0,0,3,11,0,3,4,17,0,0,0,46,4,2,66.7,Matches
331,Andrej Kramarić,"FW,MF",hr Croatia,30,1991,5.3,0,0,0,1,4,2,6,0,2,0,0,0,18,0,4,0.0,Matches
332,Grzegorz Krychowiak,MF,pl Poland,32,1990,3.7,1,0,0,6,7,0,1,5,4,0,0,0,23,4,3,57.1,Matches
