Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
510,Djorkaeff Reasco,FW,ec Ecuador,23,1999,0.3,2,2,100.0,21,9,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
511,Gio Reyna,FW,us United States,19,2002,0.6,26,38,68.4,408,58,13,19,68.4,9,12,75.0,2,2,100.0,0,0.2,0.2,-0.2,2,1,1,1,1,Matches
512,Ramin Rezaeian,DF,ir IR Iran,32,1990,2.0,73,105,69.5,1240,681,37,40,92.5,25,36,69.4,9,26,34.6,0,0.3,0.5,-0.3,3,2,4,1,5,Matches
513,Everton Ribeiro,MF,br Brazil,33,1989,0.4,15,18,83.3,210,67,10,12,83.3,5,5,100.0,0,1,0.0,0,0.1,0.1,-0.1,2,2,1,1,2,Matches
514,Declan Rice,MF,eng England,23,1999,4.6,300,322,93.2,5456,1141,124,125,99.2,143,155,92.3,29,34,85.3,0,0.0,0.1,0.0,1,18,2,0,14,Matches
515,Richarlison,FW,br Brazil,25,1997,3.6,40,58,69.0,496,89,25,33,75.8,11,16,68.8,1,2,50.0,0,1.0,0.4,-1.0,6,2,3,0,3,Matches
516,Fabian Rieder,FW,ch Switzerland,20,2002,0.8,13,26,50.0,126,34,11,16,68.8,2,7,28.6,0,2,0.0,0,0.2,0.0,-0.2,1,1,0,0,1,Matches
517,Ró-Ró,DF,qa Qatar,31,1990,2.9,78,108,72.2,1324,355,47,51,92.2,25,31,80.6,5,19,26.3,0,0.0,0.1,0.0,0,4,2,0,4,Matches
518,Connor Roberts,DF,wls Wales,26,1995,2.2,92,118,78.0,1928,686,25,31,80.6,52,62,83.9,15,21,71.4,0,0.4,0.2,-0.4,1,3,2,1,7,Matches
519,Antonee Robinson,DF,us United States,24,1997,4.0,173,241,71.8,2891,1043,88,102,86.3,69,96,71.9,13,26,50.0,0,0.3,0.2,-0.3,3,12,3,0,10,Matches
520,Sergio Rochet,GK,uy Uruguay,29,1993,3.0,54,78,69.2,1262,1003,17,17,100.0,27,28,96.4,10,33,30.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
521,Joe Rodon,DF,wls Wales,24,1997,3.0,152,169,89.9,3064,1019,40,42,95.2,93,101,92.1,19,26,73.1,0,0.0,0.0,0.0,0,1,0,0,1,Matches
522,Rodri,DF,es Spain,25,1996,4.3,642,689,93.2,12636,3349,172,180,95.6,416,435,95.6,50,68,73.5,0,0.2,0.2,-0.2,4,46,2,1,25,Matches
523,Charly Rodríguez,MF,mx Mexico,25,1997,0.4,21,30,70.0,436,153,8,10,80.0,9,13,69.2,4,5,80.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
524,Guido Rodríguez,MF,ar Argentina,28,1994,0.6,54,64,84.4,871,342,30,33,90.9,19,24,79.2,4,6,66.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches
525,Kevin Rodríguez,FW,ec Ecuador,22,2000,0.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches
526,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4.0,164,229,71.6,2840,949,78,90,86.7,66,91,72.5,18,35,51.4,0,0.2,0.3,-0.2,2,18,2,0,10,Matches
527,Rodrygo,"MF,FW",br Brazil,21,2001,2.0,91,113,80.5,1201,240,53,61,86.9,28,34,82.4,4,10,40.0,1,0.4,0.6,+0.6,6,4,3,0,7,Matches
528,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,0.8,14,21,66.7,217,22,7,11,63.6,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0,Matches
529,Cristian Romero,DF,ar Argentina,24,1998,6.1,337,375,89.9,5417,2110,175,186,94.1,137,151,90.7,21,30,70.0,0,0.0,0.0,0.0,0,12,0,0,11,Matches
530,Cristiano Ronaldo,FW,pt Portugal,37,1985,3.2,68,90,75.6,789,98,49,55,89.1,13,21,61.9,1,1,100.0,0,0.1,0.1,-0.1,4,3,1,0,4,Matches
531,Marten de Roon,MF,nl Netherlands,31,1991,2.0,97,119,81.5,1560,332,49,57,86.0,41,52,78.8,5,5,100.0,0,0.0,0.0,0.0,0,8,0,0,3,Matches
532,Kye Rowles,DF,au Australia,23,1998,4.0,165,187,88.2,3062,1025,49,52,94.2,96,105,91.4,14,18,77.8,0,0.0,0.0,0.0,0,2,0,0,1,Matches
533,Antonio Rüdiger,DF,de Germany,29,1993,3.0,229,252,90.9,4005,1341,84,89,94.4,132,138,95.7,10,19,52.6,0,0.0,0.0,0.0,0,14,0,0,17,Matches
534,Bryan Ruiz,MF,cr Costa Rica,36,1985,0.3,8,12,66.7,114,11,5,5,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
535,Mathew Ryan,GK,au Australia,30,1992,4.0,113,164,68.9,3668,2579,13,13,100.0,46,46,100.0,54,105,51.4,0,0.0,0.0,0.0,0,1,0,0,0,Matches
536,Youssouf Sabaly,DF,sn Senegal,29,1993,4.0,189,219,86.3,2773,1012,108,112,96.4,60,73,82.2,11,20,55.0,0,0.7,0.7,-0.7,8,16,6,1,16,Matches
537,Abdelhamid Sabiri,MF,ma Morocco,25,1996,2.0,45,58,77.6,690,122,30,33,90.9,7,13,53.8,7,10,70.0,1,0.9,0.1,+0.1,3,3,0,0,0,Matches
538,Romain Saïss,DF,ma Morocco,32,1990,5.2,159,199,79.9,3400,1479,44,47,93.6,89,102,87.3,24,46,52.2,0,0.0,0.0,0.0,0,8,1,0,7,Matches
539,Bukayo Saka,FW,eng England,20,2001,3.2,84,108,77.8,1281,279,46,59,78.0,31,35,88.6,4,6,66.7,0,0.7,0.6,-0.7,5,3,7,2,8,Matches
540,Hiroki Sakai,"MF,DF",jp Japan,32,1990,1.3,28,47,59.6,540,288,9,11,81.8,14,21,66.7,4,9,44.4,0,0.1,0.1,-0.1,1,4,1,0,6,Matches
541,Youstin Salas,"DF,MF",cr Costa Rica,25,1996,0.5,15,19,78.9,294,202,6,7,85.7,7,8,87.5,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
542,William Saliba,DF,fr France,21,2001,0.3,37,37,100.0,640,217,12,12,100.0,24,24,100.0,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,1,Matches
543,Mohammed Salisu,DF,gh Ghana,23,1999,3.0,109,151,72.2,1864,846,51,57,89.5,49,60,81.7,8,31,25.8,0,0.2,0.3,-0.2,2,8,1,0,8,Matches
544,Tarek Salman,DF,qa Qatar,24,1997,0.1,7,10,70.0,122,34,3,3,100.0,4,4,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
545,Alex Sandro,DF,br Brazil,31,1991,2.1,150,169,88.8,2171,680,89,93,95.7,53,61,86.9,5,11,45.5,0,0.1,0.2,-0.1,1,11,2,1,11,Matches
546,Leroy Sané,"FW,DF",de Germany,26,1996,1.2,47,58,81.0,647,273,22,28,78.6,15,16,93.8,2,3,66.7,1,1.8,1.9,-0.8,4,6,6,1,9,Matches
547,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,24,37,64.9,375,68,13,16,81.3,8,10,80.0,2,4,50.0,0,0.1,0.1,-0.1,3,2,2,1,2,Matches
548,Pablo Sarabia,FW,es Spain,30,1992,0.0,2,5,40.0,39,28,1,1,100.0,1,2,50.0,0,1,0.0,0,0.2,0.0,-0.2,2,0,1,1,0,Matches
549,Josh Sargent,FW,us United States,22,2000,1.7,29,33,87.9,321,35,18,19,94.7,7,7,100.0,0,1,0.0,0,0.1,0.1,-0.1,1,1,1,0,1,Matches
550,Jeremy Sarmiento,"MF,FW",ec Ecuador,19,2002,0.9,23,37,62.2,304,40,14,17,82.4,6,9,66.7,1,6,16.7,0,0.1,0.0,-0.1,2,1,1,1,0,Matches
551,Ismaila Sarr,"FW,MF",sn Senegal,24,1998,3.8,52,81,64.2,659,205,32,36,88.9,11,25,44.0,4,6,66.7,0,0.4,0.5,-0.4,6,3,6,2,6,Matches
552,Ferjani Sassi,"MF,DF",tn Tunisia,30,1992,0.5,25,34,73.5,522,135,5,7,71.4,17,18,94.4,3,6,50.0,0,0.0,0.0,0.0,0,5,1,0,4,Matches
553,Fabian Schär,DF,ch Switzerland,30,1991,1.5,65,82,79.3,1483,444,17,19,89.5,40,47,85.1,8,16,50.0,0,0.0,0.0,0.0,0,4,0,0,2,Matches
