Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
540,Olivier Ntcham,MF,cm Cameroon,26,1996,1,25,25,9.3,0.3,0,,0,1,25,2,3.00,1,0,+1,+3.60,+3.97,0.2,1.2,-1.0,-3.84,-3.34,Matches
541,Matheus Nunes,MF,pt Portugal,23,1998,2,73,37,16.2,0.8,1,64,0,1,9,3,1.50,2,1,+1,+1.23,+0.04,2.2,0.8,+1.4,+1.70,+1.73,Matches
542,Darwin Núñez,FW,uy Uruguay,22,1999,3,240,80,88.9,2.7,3,80,1,0,,0,1.33,2,1,+1,+0.37,+3.37,3.0,2.0,+1.1,+0.40,+3.17,Matches
543,Manaf Nurudeen,GK,gh Ghana,23,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
544,Christian Nørgaard,MF,dk Denmark,28,1994,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,1,-1,-15.00,-14.66,0.0,0.7,-0.7,-10.09,-9.91,Matches
545,Guillermo Ochoa,GK,mx Mexico,36,1985,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,,Matches
546,Denis Odoi,DF,gh Ghana,34,1988,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.70,0.0,0.4,-0.4,-2.64,-2.27,Matches
547,Noah Okafor,"FW,MF",ch Switzerland,22,2000,3,45,15,12.5,0.5,0,,0,3,15,0,2.00,0,2,-2,-4.00,-3.43,0.4,0.5,-0.1,-0.15,-0.26,Matches
548,Mathías Olivera,DF,uy Uruguay,24,1997,3,253,84,93.7,2.8,3,84,1,0,,0,1.33,2,1,+1,+0.36,+5.65,3.5,2.5,+1.0,+0.35,+4.73,Matches
549,Dani Olmo,FW,es Spain,24,1998,4,367,92,94.1,4.1,4,92,3,0,,0,1.25,9,3,+6,+1.47,+1.47,5.8,3.1,+2.7,+0.67,+0.60,Matches
550,Jonas Omlin,GK,ch Switzerland,28,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
551,Amadou Onana,MF,be Belgium,20,2001,2,104,52,38.5,1.2,1,59,0,1,45,0,1.50,0,0,0,0.00,+0.54,1.2,0.7,+0.4,+0.36,+0.49,Matches
552,André Onana,GK,cm Cameroon,26,1996,1,80,80,29.6,0.9,1,80,0,0,,0,0.00,0,1,-1,-1.13,-1.60,0.7,1.4,-0.7,-0.70,+0.12,Matches
553,Gaël Ondoua,MF,cm Cameroon,26,1995,2,47,24,17.4,0.5,0,,0,2,24,1,0.50,0,0,0,0.00,0.00,0.1,0.6,-0.6,-1.10,-0.39,Matches
554,Loïs Openda,FW,be Belgium,22,2000,1,13,13,4.8,0.1,0,,0,1,13,2,3.00,0,0,0,0.00,+0.35,0.2,0.2,0.0,-0.07,-0.13,Matches
555,Mislav Oršić,FW,hr Croatia,29,1992,6,162,27,23.5,1.8,1,89,0,5,15,1,1.50,4,2,+2,+1.11,+1.28,1.9,2.1,-0.2,-0.13,+0.50,Matches
556,Jonathan Osorio,"MF,FW",ca Canada,30,1992,3,119,40,44.1,1.3,1,64,0,2,28,0,0.00,1,4,-3,-2.27,-1.08,1.0,2.4,-1.4,-1.08,-2.13,Matches
557,Nicolás Otamendi,DF,ar Argentina,34,1988,7,690,99,100.0,7.7,7,99,7,0,,0,2.00,15,8,+7,+0.91,,15.1,4.6,+10.4,+1.49,+1.49,Matches
558,Otávio,MF,pt Portugal,27,1995,3,196,65,43.6,2.2,3,65,0,0,,0,2.00,5,2,+3,+1.38,+0.31,3.3,2.0,+1.3,+0.61,+0.63,Matches
559,Abdullah Otayf,MF,sa Saudi Arabia,29,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
560,Samuel Oum Gouet,MF,cm Cameroon,24,1997,2,100,50,37.0,1.1,1,90,1,1,10,1,0.50,0,1,-1,-0.90,-1.43,0.8,1.6,-0.8,-0.71,+0.12,Matches
561,Azzedine Ounahi,MF,ma Morocco,22,2000,7,568,81,86.1,6.3,6,89,2,1,35,0,1.57,4,3,+1,+0.16,+0.16,5.4,6.7,-1.4,-0.22,-0.78,Matches
562,Bryan Oviedo,DF,cr Costa Rica,32,1990,3,260,87,96.3,2.9,3,87,1,0,,0,1.00,3,9,-6,-2.08,+15.92,1.4,9.0,-7.5,-2.61,+7.77,Matches
